timestamp,value_PM2.5,value_Luftfeuchte,value_UV-Intensität,value_PM10,value_Lautstärke,value_Temperatur,value_Beleuchtungsstärke
2025-03-11 00:00:00+00:00,20.7,39.44,241914.38,51.4,44.47,5.19,0.0
2025-03-11 00:01:00+00:00,20.4,39.54,241914.38,50.8,43.67,5.17,0.0
2025-03-11 00:02:00+00:00,21.1,39.34,241914.38,47.5,44.15,5.17,0.0
2025-03-11 00:03:00+00:00,21.3,39.03,241914.38,47.6,44.31,5.19,0.0
2025-03-11 00:04:00+00:00,22.9,38.71,241914.38,54.4,44.31,5.12,0.0
2025-03-11 00:05:00+00:00,21.3,38.51,241914.38,59.7,44.15,5.14,0.0
2025-03-11 00:06:00+00:00,22.5,38.51,241914.38,52.6,44.31,5.07,0.0
2025-03-11 00:07:00+00:00,24.3,38.2,241914.38,55.8,44.31,5.05,0.0
2025-03-11 00:08:00+00:00,21.4,38.01,241914.38,53.2,43.99,5.02,0.0
2025-03-11 00:09:00+00:00,22.5,37.7,241914.38,57.0,44.63,5.04,0.0
2025-03-11 00:10:00+00:00,21.4,38.11,241914.38,54.5,44.31,5.02,0.0
2025-03-11 00:11:00+00:00,21.9,38.01,241914.38,53.2,43.83,5.01,0.0
2025-03-11 00:12:00+00:00,22.0,37.9,241914.38,58.1,44.96,4.99,0.0
2025-03-11 00:13:00+00:00,22.5,38.11,241914.38,57.3,44.47,4.92,0.0
2025-03-11 00:14:00+00:00,22.8,37.9,241914.38,55.5,43.83,4.94,0.0
2025-03-11 00:15:00+00:00,23.0,38.11,241914.38,58.6,43.99,4.91,0.0
2025-03-11 00:16:00+00:00,23.3,37.9,241914.38,53.4,44.47,4.86,0.0
2025-03-11 00:17:00+00:00,20.9,38.02,241914.38,47.0,43.51,4.8,0.0
2025-03-11 00:18:00+00:00,23.6,38.02,241914.38,59.0,44.31,4.79,0.0
2025-03-11 00:19:00+00:00,22.5,37.82,241914.38,57.0,44.31,4.8,0.0
2025-03-11 00:20:00+00:00,23.7,37.61,241914.38,55.4,44.47,4.79,0.0
2025-03-11 00:21:00+00:00,20.9,37.51,241914.38,49.2,44.31,4.77,0.0
2025-03-11 00:22:00+00:00,21.8,37.3,241914.38,52.1,43.99,4.73,0.0
2025-03-11 00:23:00+00:00,22.9,37.51,241914.38,50.2,44.47,4.73,0.0
2025-03-11 00:24:00+00:00,22.1,37.51,241914.38,63.7,44.15,4.76,0.0
2025-03-11 00:25:00+00:00,23.4,37.4,241914.38,57.3,44.15,4.69,0.0
2025-03-11 00:26:00+00:00,19.6,37.4,241914.38,49.6,44.15,4.72,0.0
2025-03-11 00:27:00+00:00,23.3,37.51,241914.38,55.5,44.47,4.7,0.0
2025-03-11 00:28:00+00:00,21.9,37.51,241914.38,53.9,44.63,4.7,0.0
2025-03-11 00:29:00+00:00,22.6,37.51,241914.38,58.3,45.44,4.64,0.0
2025-03-11 00:30:00+00:00,21.1,37.61,241914.38,50.2,45.12,4.62,0.0
2025-03-11 00:31:00+00:00,22.4,37.71,241914.38,54.5,44.47,4.59,0.0
2025-03-11 00:32:00+00:00,20.9,37.51,241914.38,49.6,44.63,4.67,0.0
2025-03-11 00:33:00+00:00,22.3,37.3,241914.38,53.3,44.79,4.7,0.0
2025-03-11 00:34:00+00:00,21.2,37.4,241914.38,54.6,44.79,4.67,0.0
2025-03-11 00:35:00+00:00,20.3,37.51,241914.38,47.0,43.83,4.65,0.0
2025-03-11 00:36:00+00:00,20.6,37.4,241914.38,44.2,44.79,4.65,0.0
2025-03-11 00:37:00+00:00,21.1,37.51,241914.38,55.2,44.31,4.64,0.0
2025-03-11 00:38:00+00:00,22.3,37.61,241914.38,55.5,44.79,4.58,0.0
2025-03-11 00:39:00+00:00,20.5,37.84,241914.38,54.5,44.79,4.58,0.0
2025-03-11 00:40:00+00:00,20.6,38.13,241914.38,53.2,44.31,4.58,0.0
2025-03-11 00:41:00+00:00,20.4,38.35,241914.38,50.9,44.79,4.57,0.0
2025-03-11 00:42:00+00:00,21.4,38.46,241914.38,55.7,45.28,4.54,0.0
2025-03-11 00:43:00+00:00,21.4,38.35,241914.38,58.8,44.47,4.54,0.0
2025-03-11 00:44:00+00:00,22.4,38.35,241914.38,51.3,45.12,4.47,0.0
2025-03-11 00:45:00+00:00,22.2,38.15,241914.38,51.0,44.31,4.47,0.0
2025-03-11 00:46:00+00:00,19.0,38.15,241914.38,44.5,45.12,4.46,0.0
2025-03-11 00:47:00+00:00,21.2,38.17,241914.38,51.6,44.96,4.44,0.0
2025-03-11 00:48:00+00:00,21.1,38.04,241914.38,53.9,45.44,4.42,0.0
2025-03-11 00:49:00+00:00,21.0,37.94,241914.38,52.3,44.79,4.46,0.0
2025-03-11 00:50:00+00:00,19.8,37.84,241914.38,46.5,45.44,4.43,0.0
2025-03-11 00:51:00+00:00,21.3,37.52,241914.38,55.2,44.79,4.43,0.0
2025-03-11 00:52:00+00:00,21.1,37.84,241914.38,53.0,44.96,4.42,0.0
2025-03-11 00:53:00+00:00,21.0,37.84,241914.38,49.2,44.63,4.4,0.0
2025-03-11 00:54:00+00:00,20.9,37.94,241914.38,57.6,45.76,4.4,0.0
2025-03-11 00:55:00+00:00,20.9,37.63,241914.38,52.9,44.79,4.44,0.0
2025-03-11 00:56:00+00:00,21.2,37.42,241914.38,57.9,44.79,4.43,0.0
2025-03-11 00:57:00+00:00,20.6,37.21,241914.38,53.1,44.63,4.43,0.0
2025-03-11 00:58:00+00:00,21.6,37.32,241914.38,55.0,44.79,4.43,0.0
2025-03-11 00:59:00+00:00,18.8,37.52,241914.38,46.4,45.44,4.43,0.0
2025-03-11 01:00:00+00:00,20.6,37.32,241914.38,54.4,44.63,4.42,0.0
2025-03-11 01:01:00+00:00,20.8,37.42,241914.38,52.8,44.96,4.43,0.0
2025-03-11 01:02:00+00:00,19.9,37.73,241914.38,49.9,44.63,4.44,0.0
2025-03-11 01:03:00+00:00,18.7,38.04,241914.38,45.3,46.08,4.4,0.0
2025-03-11 01:04:00+00:00,18.9,38.15,241914.38,44.1,45.28,4.4,0.0
2025-03-11 01:05:00+00:00,18.7,38.35,241914.38,48.1,44.63,4.37,0.0
2025-03-11 01:06:00+00:00,18.8,38.68,241914.38,51.6,44.79,4.37,0.0
2025-03-11 01:07:00+00:00,18.4,39.2,241914.38,42.8,45.28,4.34,0.0
2025-03-11 01:08:00+00:00,20.0,39.31,241914.38,51.1,45.92,4.34,0.0
2025-03-11 01:09:00+00:00,18.6,39.41,241914.38,43.2,44.96,4.34,0.0
2025-03-11 01:10:00+00:00,19.2,39.2,241914.38,46.7,44.79,4.28,0.0
2025-03-11 01:11:00+00:00,19.1,39.41,241914.38,47.2,44.63,4.26,0.0
2025-03-11 01:12:00+00:00,19.9,39.2,241914.38,50.1,45.6,4.26,0.0
2025-03-11 01:13:00+00:00,17.9,39.2,241914.38,38.3,45.12,4.26,0.0
2025-03-11 01:14:00+00:00,16.3,39.0,241914.38,43.7,45.44,4.25,0.0
2025-03-11 01:15:00+00:00,16.7,38.48,241914.38,47.1,45.28,4.26,0.0
2025-03-11 01:16:00+00:00,16.7,38.68,241914.38,43.5,45.12,4.28,0.0
