timestamp,value_PM2.5,value_Luftfeuchte,value_UV-Intensität,value_PM10,value_Lautstärke,value_Temperatur,value_Beleuchtungsstärke
2025-03-11 00:00:00+00:00,42.3,83.73,1833.75,77.4,40.61,7.58,0.0
2025-03-11 00:01:00+00:00,44.6,83.73,1833.75,82.3,38.99,7.55,0.0
2025-03-11 00:02:00+00:00,43.3,83.84,1833.75,80.0,40.44,7.55,0.0
2025-03-11 00:03:00+00:00,44.4,83.94,1833.75,85.8,40.12,7.53,0.0
2025-03-11 00:04:00+00:00,43.3,83.98,1833.75,81.4,40.12,7.42,0.0
2025-03-11 00:05:00+00:00,44.0,84.39,1833.75,78.8,43.02,7.41,0.0
2025-03-11 00:06:00+00:00,43.8,84.59,1833.75,80.8,39.48,7.38,0.0
2025-03-11 00:07:00+00:00,44.2,84.91,1833.75,83.5,41.89,7.37,0.0
2025-03-11 00:08:00+00:00,43.2,84.91,1833.75,79.3,40.12,7.34,0.0
2025-03-11 00:09:00+00:00,44.6,85.11,1833.75,82.6,41.73,7.32,0.0
2025-03-11 00:10:00+00:00,45.0,85.11,1833.75,83.6,40.77,7.34,0.0
2025-03-11 00:11:00+00:00,45.0,85.01,1833.75,83.7,39.8,7.34,0.0
2025-03-11 00:12:00+00:00,44.4,85.11,1833.75,81.9,41.41,7.29,0.0
2025-03-11 00:13:00+00:00,44.1,85.11,1833.75,85.1,41.89,7.27,0.0
2025-03-11 00:14:00+00:00,46.6,85.22,1833.75,88.5,41.73,7.27,0.0
2025-03-11 00:15:00+00:00,44.9,85.11,1833.75,83.9,36.58,7.31,0.0
2025-03-11 00:16:00+00:00,45.2,85.11,1833.75,85.7,41.25,7.29,0.0
2025-03-11 00:17:00+00:00,44.2,85.31,1833.75,84.0,44.15,7.31,0.0
2025-03-11 00:18:00+00:00,44.1,85.22,1833.75,81.9,39.32,7.29,0.0
2025-03-11 00:19:00+00:00,44.0,85.31,1833.75,86.1,41.09,7.32,0.0
2025-03-11 00:20:00+00:00,44.8,85.31,1833.75,81.1,40.44,7.24,0.0
2025-03-11 00:21:00+00:00,44.6,85.22,1833.75,87.4,40.77,7.26,0.0
2025-03-11 00:22:00+00:00,44.2,85.22,1833.75,85.1,43.51,7.24,0.0
2025-03-11 00:23:00+00:00,45.0,85.36,1833.75,85.7,40.77,7.17,0.0
2025-03-11 00:24:00+00:00,43.7,85.57,1833.75,82.1,38.51,7.19,0.0
2025-03-11 00:25:00+00:00,43.8,85.67,1833.75,82.6,40.12,7.13,0.0
2025-03-11 00:26:00+00:00,44.7,85.77,1833.75,87.1,39.64,7.09,0.0
2025-03-11 00:27:00+00:00,44.2,85.87,1833.75,87.2,39.64,7.08,0.0
2025-03-11 00:28:00+00:00,43.7,85.87,1833.75,84.1,40.61,7.08,0.0
2025-03-11 00:29:00+00:00,45.5,86.08,1833.75,87.9,40.77,7.05,0.0
2025-03-11 00:30:00+00:00,44.4,85.97,1833.75,85.9,40.44,7.07,0.0
2025-03-11 00:31:00+00:00,44.5,86.08,1833.75,89.3,41.41,7.04,0.0
2025-03-11 00:32:00+00:00,44.2,86.12,1833.75,87.4,41.41,7.01,0.0
2025-03-11 00:33:00+00:00,46.2,86.12,1833.75,85.8,40.93,7.01,0.0
2025-03-11 00:34:00+00:00,44.7,86.02,1833.75,89.0,39.48,6.98,0.0
