timestamp,value_PM2.5,value_Luftfeuchte,value_UV-Intensität,value_PM10,value_Lautstärke,value_Temperatur,value_Beleuchtungsstärke
2025-03-11 04:00:00+00:00,7.2,99.99,0.0,20.1,43.67,3.58,0.0
2025-03-11 04:01:00+00:00,7.3,99.99,0.0,22.6,44.15,3.46,0.0
2025-03-11 04:02:00+00:00,6.5,99.99,0.0,20.2,49.63,3.4,0.0
2025-03-11 04:03:00+00:00,6.6,99.99,0.0,17.1,52.21,3.42,0.0
2025-03-11 04:04:00+00:00,5.5,99.99,0.0,14.5,43.51,3.4,0.0
2025-03-11 04:05:00+00:00,7.7,99.99,0.0,24.2,45.6,3.36,0.0
2025-03-11 04:06:00+00:00,6.5,99.99,0.0,20.7,40.61,3.4,0.0
2025-03-11 04:07:00+00:00,6.6,99.99,0.0,23.9,41.09,3.46,0.0
2025-03-11 04:08:00+00:00,6.6,99.99,0.0,21.9,43.18,3.47,0.0
2025-03-11 04:09:00+00:00,6.8,99.99,0.0,21.1,45.92,3.53,0.0
2025-03-11 04:10:00+00:00,6.7,99.99,0.0,21.8,43.67,3.6,0.0
2025-03-11 04:11:00+00:00,6.7,99.99,0.0,22.2,48.82,3.58,0.0
2025-03-11 04:12:00+00:00,7.5,99.99,0.0,20.0,47.05,3.57,0.0
2025-03-11 04:13:00+00:00,7.1,99.99,0.0,23.9,43.99,3.53,0.0
2025-03-11 04:14:00+00:00,6.3,99.99,0.0,18.8,43.51,3.54,0.0
2025-03-11 04:15:00+00:00,6.9,99.99,0.0,17.3,55.27,3.57,0.0
2025-03-11 04:16:00+00:00,7.7,99.99,0.0,30.6,46.57,3.61,0.0
2025-03-11 04:17:00+00:00,6.4,99.99,0.0,18.0,44.31,3.61,0.0
2025-03-11 04:18:00+00:00,5.9,99.99,0.0,19.7,47.37,3.53,0.0
2025-03-11 04:19:00+00:00,7.5,99.99,0.0,24.6,45.76,3.58,0.0
2025-03-11 04:20:00+00:00,5.5,99.99,0.0,15.6,42.22,3.53,0.0
2025-03-11 04:21:00+00:00,6.9,99.99,0.0,18.4,45.12,3.54,0.0
2025-03-11 04:22:00+00:00,6.5,99.99,0.0,20.3,42.7,3.49,0.0
2025-03-11 04:23:00+00:00,6.9,99.99,0.0,21.1,43.18,3.47,0.0
2025-03-11 04:24:00+00:00,6.0,99.99,0.0,19.8,45.12,3.44,0.0
2025-03-11 04:25:00+00:00,7.4,99.99,0.0,22.7,50.43,3.49,0.0
2025-03-11 04:26:00+00:00,6.9,99.99,0.0,18.6,50.6,3.5,0.0
2025-03-11 04:27:00+00:00,7.3,99.99,0.0,21.2,43.83,3.49,0.0
2025-03-11 04:28:00+00:00,7.3,99.99,0.0,25.2,41.25,3.52,0.0
2025-03-11 04:29:00+00:00,7.3,99.99,0.0,22.8,42.22,3.57,0.0
2025-03-11 04:30:00+00:00,8.3,99.99,0.0,24.6,44.15,3.53,0.0
2025-03-11 04:31:00+00:00,6.2,99.99,0.0,14.6,46.08,3.5,0.0
2025-03-11 04:32:00+00:00,6.4,99.99,0.0,20.5,48.34,3.5,0.0
2025-03-11 04:33:00+00:00,6.4,99.99,0.0,19.4,46.73,3.49,0.0
2025-03-11 04:34:00+00:00,7.4,99.99,0.0,23.4,43.83,3.46,0.0
2025-03-11 04:35:00+00:00,7.5,99.99,0.0,19.0,48.82,3.44,0.0
2025-03-11 04:36:00+00:00,6.3,99.99,0.0,19.9,52.21,3.31,0.0
2025-03-11 04:37:00+00:00,7.6,99.99,0.0,22.5,53.98,3.21,0.0
2025-03-11 04:38:00+00:00,7.9,99.99,0.0,22.1,46.89,3.23,0.0
2025-03-11 04:39:00+00:00,7.2,99.99,0.0,24.6,45.92,3.25,0.0
2025-03-11 04:40:00+00:00,7.5,99.99,0.0,24.5,48.82,3.25,0.0
2025-03-11 04:41:00+00:00,6.4,99.99,0.0,20.0,43.67,3.24,0.0
2025-03-11 04:42:00+00:00,6.1,99.99,0.0,22.1,43.02,3.23,0.0
2025-03-11 04:43:00+00:00,6.2,99.99,0.0,23.3,44.63,3.28,0.0
2025-03-11 04:44:00+00:00,6.5,99.99,0.0,21.7,45.6,3.36,0.0
2025-03-11 04:45:00+00:00,5.5,99.99,0.0,22.0,50.11,3.43,0.0
2025-03-11 04:46:00+00:00,8.2,99.99,0.0,25.5,47.7,3.5,0.0
2025-03-11 04:47:00+00:00,7.9,99.99,0.0,21.0,56.88,3.57,0.0
2025-03-11 04:48:00+00:00,7.8,99.99,0.0,24.6,52.53,3.61,0.0
2025-03-11 04:49:00+00:00,7.8,99.99,0.0,22.8,45.28,3.65,0.0
2025-03-11 04:50:00+00:00,8.2,99.99,0.0,23.9,47.37,3.67,0.0
2025-03-11 04:51:00+00:00,5.3,99.99,0.0,17.5,60.59,3.62,0.0
2025-03-11 04:52:00+00:00,7.5,99.99,0.0,18.5,42.86,3.57,0.0
2025-03-11 04:53:00+00:00,7.8,99.99,0.0,23.1,44.79,3.49,0.0
2025-03-11 04:54:00+00:00,7.1,99.99,0.0,19.2,45.28,3.5,0.0
2025-03-11 04:55:00+00:00,5.7,99.99,0.0,20.7,49.95,3.46,0.0
2025-03-11 04:56:00+00:00,7.6,99.99,0.0,19.2,46.73,3.46,0.0
2025-03-11 04:57:00+00:00,7.3,99.99,0.0,23.0,43.18,3.4,0.0
2025-03-11 04:58:00+00:00,6.6,99.99,0.0,18.9,43.18,3.28,0.0
2025-03-11 04:59:00+00:00,6.3,99.99,0.0,19.6,45.12,3.23,0.0
2025-03-11 05:00:00+00:00,6.8,99.99,0.0,15.8,57.52,3.24,0.0
2025-03-11 05:01:00+00:00,6.8,99.99,0.0,17.2,52.85,3.21,0.0
2025-03-11 05:02:00+00:00,6.8,99.99,0.0,20.0,45.92,3.21,0.0
2025-03-11 05:03:00+00:00,4.9,99.99,0.0,16.2,48.98,3.27,0.0
2025-03-11 05:04:00+00:00,7.2,99.99,0.0,25.0,60.59,3.31,1.0
2025-03-11 05:05:00+00:00,7.1,99.99,0.0,22.0,54.46,3.34,0.0
2025-03-11 05:06:00+00:00,5.5,99.99,0.0,18.1,55.59,3.39,0.0
2025-03-11 05:07:00+00:00,7.2,99.99,0.0,21.5,60.59,3.34,0.0
2025-03-11 05:08:00+00:00,6.3,99.99,0.0,18.6,49.47,3.39,1.0
2025-03-11 05:09:00+00:00,5.8,99.99,0.0,22.2,53.82,3.34,1.0
2025-03-11 05:10:00+00:00,6.8,99.99,0.0,16.3,47.7,3.36,2.0
2025-03-11 05:11:00+00:00,6.3,99.99,0.0,15.9,65.58,3.36,2.0
2025-03-11 05:12:00+00:00,5.2,99.99,0.0,15.6,44.15,3.4,2.0
