timestamp,value_PM2.5,value_Luftfeuchte,value_UV-Intensität,value_PM10,value_Lautstärke,value_Temperatur,value_Beleuchtungsstärke
2025-03-11 00:00:00+00:00,18.1,95.6,0.0,40.8,38.5,4.3,0.0
2025-03-11 00:01:00+00:00,17.2,95.7,0.0,43.7,38.1,4.3,0.0
2025-03-11 00:02:00+00:00,,,,,,,
2025-03-11 00:03:00+00:00,16.9,95.7,0.0,39.9,40.9,4.2,0.0
2025-03-11 00:04:00+00:00,17.4,95.6,0.0,44.7,41.8,4.2,0.0
2025-03-11 00:05:00+00:00,16.9,95.6,0.0,40.5,38.1,4.2,0.0
2025-03-11 00:06:00+00:00,17.0,95.6,0.0,40.9,38.6,4.2,0.0
2025-03-11 00:07:00+00:00,,,,,,,
2025-03-11 00:08:00+00:00,17.6,95.6,0.0,41.3,38.1,4.2,0.0
2025-03-11 00:09:00+00:00,17.9,95.6,0.0,41.3,39.4,4.2,0.0
2025-03-11 00:10:00+00:00,17.0,95.7,0.0,39.1,43.1,4.1,0.0
2025-03-11 00:11:00+00:00,18.1,95.9,0.0,40.9,39.3,4.1,0.0
2025-03-11 00:12:00+00:00,,,,,,,
2025-03-11 00:13:00+00:00,18.1,95.8,0.0,45.0,39.3,4.1,0.0
2025-03-11 00:14:00+00:00,17.2,95.8,0.0,41.7,42.8,4.1,0.0
2025-03-11 00:15:00+00:00,17.5,95.8,0.0,39.3,38.8,4.1,0.0
2025-03-11 00:16:00+00:00,17.5,95.8,0.0,42.6,38.1,4.0,0.0
2025-03-11 00:17:00+00:00,18.2,96.1,0.0,41.2,44.3,4.0,0.0
2025-03-11 00:18:00+00:00,,,,,,,
2025-03-11 00:19:00+00:00,17.4,96.1,0.0,43.0,41.4,4.0,0.0
2025-03-11 00:20:00+00:00,18.2,96.5,0.0,42.6,40.1,4.1,0.0
2025-03-11 00:21:00+00:00,17.9,97.7,0.0,48.0,45.7,4.1,0.0
2025-03-11 00:22:00+00:00,18.1,98.3,0.0,44.8,39.4,4.1,0.0
2025-03-11 00:23:00+00:00,,,,,,,
2025-03-11 00:24:00+00:00,18.9,98.2,0.0,45.6,39.7,4.2,0.0
2025-03-11 00:25:00+00:00,20.4,98.4,0.0,45.6,40.6,4.2,0.0
2025-03-11 00:26:00+00:00,19.5,98.4,0.0,47.6,40.2,4.2,0.0
2025-03-11 00:27:00+00:00,19.7,98.3,0.0,46.7,39.1,4.3,0.0
2025-03-11 00:28:00+00:00,,,,,,,
2025-03-11 00:29:00+00:00,19.1,98.1,0.0,46.7,41.0,4.3,0.0
2025-03-11 00:30:00+00:00,18.7,97.8,0.0,43.7,47.5,4.3,0.0
2025-03-11 00:31:00+00:00,19.4,97.7,0.0,47.9,39.9,4.3,0.0
2025-03-11 00:32:00+00:00,18.2,97.2,0.0,44.2,64.2,4.3,0.0
2025-03-11 00:33:00+00:00,,,,,,,
2025-03-11 00:34:00+00:00,18.4,96.9,0.0,41.4,39.4,4.3,0.0
2025-03-11 00:35:00+00:00,18.7,96.8,0.0,44.3,38.9,4.3,0.0
2025-03-11 00:36:00+00:00,18.1,96.7,0.0,42.1,40.4,4.3,0.0
2025-03-11 00:37:00+00:00,17.2,96.6,0.0,42.8,38.1,4.2,0.0
2025-03-11 00:38:00+00:00,,,,,,,
2025-03-11 00:39:00+00:00,18.2,96.8,0.0,43.5,38.1,4.2,0.0
2025-03-11 00:40:00+00:00,18.3,96.7,0.0,40.8,38.6,4.2,0.0
2025-03-11 00:41:00+00:00,17.8,96.6,0.0,40.2,39.7,4.2,0.0
2025-03-11 00:42:00+00:00,17.8,96.7,0.0,41.6,38.0,4.1,0.0
2025-03-11 00:43:00+00:00,17.3,96.8,0.0,41.8,39.6,4.1,0.0
2025-03-11 00:44:00+00:00,,,,,,,
2025-03-11 00:45:00+00:00,17.0,97.1,0.0,40.1,40.2,4.1,0.0
2025-03-11 00:46:00+00:00,16.8,97.1,0.0,38.4,38.8,4.1,0.0
2025-03-11 00:47:00+00:00,17.4,97.0,0.0,40.8,39.9,4.0,0.0
2025-03-11 00:48:00+00:00,17.3,96.9,0.0,41.1,38.6,4.0,0.0
2025-03-11 00:49:00+00:00,,,,,,,
2025-03-11 00:50:00+00:00,17.5,96.9,0.0,41.6,39.7,4.0,0.0
2025-03-11 00:51:00+00:00,16.7,96.8,0.0,41.2,40.2,4.0,0.0
2025-03-11 00:52:00+00:00,17.8,96.8,0.0,44.3,39.4,4.0,0.0
2025-03-11 00:53:00+00:00,17.2,97.0,0.0,45.2,41.5,4.0,0.0
2025-03-11 00:54:00+00:00,,,,,,,
2025-03-11 00:55:00+00:00,18.1,97.3,0.0,41.9,40.1,3.9,0.0
2025-03-11 00:56:00+00:00,17.2,97.4,0.0,38.9,39.6,3.9,0.0
2025-03-11 00:57:00+00:00,17.0,97.4,0.0,43.1,38.0,3.9,0.0
2025-03-11 00:58:00+00:00,17.6,97.5,0.0,42.8,38.9,3.9,0.0
2025-03-11 00:59:00+00:00,,,,,,,
2025-03-11 01:00:00+00:00,17.6,97.7,0.0,42.4,38.8,3.9,0.0
2025-03-11 01:01:00+00:00,17.6,97.6,0.0,43.2,39.3,3.9,0.0
2025-03-11 01:02:00+00:00,17.4,97.6,0.0,42.3,38.6,3.9,0.0
2025-03-11 01:03:00+00:00,18.2,97.5,0.0,46.3,38.6,3.8,0.0
2025-03-11 01:04:00+00:00,,,,,,,
2025-03-11 01:05:00+00:00,17.8,97.4,0.0,41.0,39.6,3.8,0.0
2025-03-11 01:06:00+00:00,17.2,97.3,0.0,40.9,39.4,3.8,0.0
2025-03-11 01:07:00+00:00,17.1,97.2,0.0,41.1,39.3,3.8,0.0
2025-03-11 01:08:00+00:00,17.3,97.3,0.0,41.2,38.8,3.8,0.0
