createdAt,value
2025-03-29T23:59:42.109Z,0.00
2025-03-29T23:54:27.089Z,0.00
2025-03-29T23:49:15.054Z,0.00
2025-03-29T23:43:57.313Z,0.00
2025-03-29T23:38:53.061Z,0.00
2025-03-29T23:33:27.518Z,0.00
2025-03-29T23:28:10.499Z,0.00
2025-03-29T23:22:55.581Z,0.00
2025-03-29T23:17:40.826Z,0.00
2025-03-29T23:12:25.903Z,0.00
2025-03-29T23:07:11.008Z,0.00
2025-03-29T23:01:56.033Z,0.00
2025-03-29T22:55:11.994Z,0.00
2025-03-29T22:49:57.212Z,0.00
2025-03-29T22:44:40.316Z,0.00
2025-03-29T22:39:25.327Z,0.00
2025-03-29T22:34:10.590Z,0.00
2025-03-29T22:29:02.675Z,0.00
2025-03-29T22:23:40.594Z,0.00
2025-03-29T22:18:25.828Z,0.00
2025-03-29T22:13:10.775Z,0.00
2025-03-29T22:07:55.842Z,0.00
2025-03-29T22:02:41.025Z,0.00
2025-03-29T21:57:26.065Z,0.00
2025-03-29T21:52:11.133Z,0.00
2025-03-29T21:46:56.274Z,0.00
2025-03-29T21:41:41.727Z,0.00
2025-03-29T21:36:27.311Z,0.00
2025-03-29T21:31:11.529Z,0.00
2025-03-29T21:25:56.665Z,0.00
2025-03-29T21:20:41.775Z,0.00
2025-03-29T21:15:26.802Z,0.00
2025-03-29T21:10:11.885Z,0.00
2025-03-29T21:04:57.057Z,0.00
2025-03-29T20:59:42.123Z,0.00
2025-03-29T20:54:27.247Z,0.00
2025-03-29T20:49:12.263Z,0.00
2025-03-29T20:43:57.805Z,0.00
2025-03-29T20:38:42.196Z,0.00
2025-03-29T20:33:31.826Z,0.00
2025-03-29T20:28:10.363Z,0.00
2025-03-29T20:22:55.451Z,0.00
2025-03-29T20:17:40.586Z,0.00
2025-03-29T20:12:25.654Z,0.00
2025-03-29T20:07:10.752Z,0.00
2025-03-29T20:01:55.620Z,0.00
2025-03-29T19:56:41.122Z,0.00
