createdAt,value
2025-03-25T23:59:39.910Z,35.77
2025-03-25T23:54:24.962Z,35.77
2025-03-25T23:49:10.157Z,35.77
2025-03-25T23:43:59.123Z,35.61
2025-03-25T23:38:40.523Z,35.93
2025-03-25T23:33:35.849Z,35.45
2025-03-25T23:28:10.488Z,35.45
2025-03-25T23:22:55.492Z,35.61
2025-03-25T23:17:40.657Z,35.77
2025-03-25T23:12:25.702Z,35.77
2025-03-25T23:07:10.494Z,37.38
2025-03-25T23:01:55.650Z,35.29
2025-03-25T22:55:09.767Z,36.90
2025-03-25T22:49:54.866Z,36.90
2025-03-25T22:44:39.966Z,36.09
2025-03-25T22:39:23.079Z,36.25
2025-03-25T22:34:08.656Z,36.09
2025-03-25T22:28:53.267Z,36.25
2025-03-25T22:23:46.392Z,35.61
2025-03-25T22:18:23.615Z,36.25
2025-03-25T22:13:08.547Z,35.45
2025-03-25T22:07:53.630Z,36.09
2025-03-25T22:02:38.814Z,35.61
2025-03-25T21:57:23.983Z,35.29
2025-03-25T21:52:08.914Z,35.77
2025-03-25T21:46:54.001Z,36.42
2025-03-25T21:41:39.095Z,35.93
2025-03-25T21:36:24.387Z,35.93
2025-03-25T21:31:09.296Z,38.35
2025-03-25T21:25:54.382Z,36.74
2025-03-25T21:20:39.471Z,35.45
2025-03-25T21:15:24.650Z,35.45
2025-03-25T21:10:09.792Z,36.42
2025-03-25T21:04:55.109Z,35.45
2025-03-25T20:59:39.817Z,35.13
2025-03-25T20:54:24.974Z,35.93
2025-03-25T20:49:10.100Z,36.25
2025-03-25T20:43:56.013Z,39.96
2025-03-25T20:38:40.191Z,40.93
2025-03-25T20:33:34.482Z,37.22
2025-03-25T20:28:10.450Z,35.93
2025-03-25T20:22:55.518Z,37.06
2025-03-25T20:17:40.594Z,41.73
2025-03-25T20:12:25.776Z,38.35
2025-03-25T20:07:10.857Z,47.53
2025-03-25T20:01:55.919Z,49.95
2025-03-25T19:56:40.942Z,34.97
2025-03-25T19:51:26.273Z,42.38
2025-03-25T19:46:11.150Z,36.74
2025-03-25T19:40:56.259Z,36.90
2025-03-25T19:35:43.808Z,60.10
2025-03-25T19:30:26.467Z,48.50
2025-03-25T19:25:11.538Z,34.32
2025-03-25T19:19:56.707Z,35.29
2025-03-25T19:14:41.767Z,35.45
2025-03-25T19:09:26.895Z,35.61
2025-03-25T19:04:12.578Z,37.22
2025-03-25T18:58:57.063Z,36.42
2025-03-25T18:53:53.213Z,35.77
2025-03-25T18:48:27.275Z,36.74
2025-03-25T18:43:12.350Z,36.25
2025-03-25T18:37:57.409Z,38.19
2025-03-25T18:32:42.539Z,37.06
2025-03-25T18:27:27.606Z,37.54
2025-03-25T18:22:12.728Z,40.77
2025-03-25T18:16:57.730Z,35.77
2025-03-25T18:11:42.813Z,35.61
2025-03-25T18:06:27.972Z,37.38
2025-03-25T18:01:17.649Z,38.03
2025-03-25T17:55:58.105Z,47.70
2025-03-25T17:50:43.202Z,36.90
2025-03-25T17:45:28.316Z,39.64
2025-03-25T17:40:13.387Z,35.93
2025-03-25T17:34:58.576Z,38.35
2025-03-25T17:29:43.610Z,41.09
2025-03-25T17:24:28.695Z,58.65
2025-03-25T17:19:13.830Z,38.67
2025-03-25T17:13:58.923Z,40.77
2025-03-25T17:08:44.006Z,47.21
2025-03-25T17:03:35.312Z,37.71
2025-03-25T16:58:12.291Z,53.17
2025-03-25T16:52:57.278Z,41.73
2025-03-25T16:47:42.442Z,41.41
2025-03-25T16:42:27.490Z,50.43
2025-03-25T16:37:12.655Z,43.67
