createdAt,value
2025-03-17T23:59:40.192Z,1.10
2025-03-17T23:54:25.262Z,2.50
2025-03-17T23:49:10.421Z,1.30
2025-03-17T23:43:55.463Z,1.10
2025-03-17T23:38:40.599Z,1.70
2025-03-17T23:33:25.764Z,1.70
2025-03-17T23:28:10.898Z,1.10
2025-03-17T23:22:55.344Z,1.40
2025-03-17T23:17:40.469Z,1.30
2025-03-17T23:12:25.585Z,1.10
2025-03-17T23:07:10.614Z,1.20
2025-03-17T23:01:58.086Z,1.30
2025-03-17T22:58:01.856Z,1.10
2025-03-17T22:52:44.902Z,1.20
2025-03-17T22:47:30.069Z,1.00
2025-03-17T22:42:15.140Z,1.20
2025-03-17T22:37:00.245Z,1.10
2025-03-17T22:31:45.308Z,1.00
2025-03-17T22:26:35.559Z,1.10
2025-03-17T22:21:15.537Z,1.00
2025-03-17T22:16:00.585Z,1.80
2025-03-17T22:10:45.728Z,0.90
2025-03-17T22:05:30.747Z,1.30
2025-03-17T22:00:16.031Z,1.10
2025-03-17T21:55:00.929Z,1.20
2025-03-17T21:49:46.011Z,1.20
2025-03-17T21:44:31.113Z,1.10
2025-03-17T21:39:16.271Z,1.60
2025-03-17T21:34:01.346Z,1.60
2025-03-17T21:28:48.638Z,1.00
2025-03-17T21:23:31.486Z,1.70
2025-03-17T21:18:16.716Z,1.00
2025-03-17T21:13:01.666Z,1.10
2025-03-17T21:07:46.770Z,1.00
2025-03-17T21:02:31.952Z,1.20
2025-03-17T20:57:17.065Z,1.20
2025-03-17T20:52:02.102Z,1.20
2025-03-17T20:46:53.283Z,1.10
2025-03-17T20:41:32.233Z,1.10
2025-03-17T20:36:20.035Z,1.00
2025-03-17T20:31:02.446Z,0.90
2025-03-17T20:25:47.534Z,1.10
2025-03-17T20:20:32.620Z,1.00
2025-03-17T20:15:20.234Z,1.10
2025-03-17T20:10:02.807Z,1.60
2025-03-17T20:04:47.959Z,1.00
2025-03-17T19:59:33.064Z,0.80
2025-03-17T19:54:18.177Z,1.40
2025-03-17T19:49:03.194Z,1.10
2025-03-17T19:43:48.306Z,1.00
2025-03-17T19:38:33.387Z,0.90
2025-03-17T19:33:16.669Z,1.40
2025-03-17T19:28:01.590Z,1.00
2025-03-17T19:22:44.798Z,1.10
2025-03-17T19:17:29.932Z,1.10
2025-03-17T19:12:12.919Z,1.10
2025-03-17T19:06:57.992Z,0.90
2025-03-17T19:01:46.927Z,0.90
2025-03-17T18:56:34.197Z,1.00
2025-03-17T18:51:18.090Z,1.00
2025-03-17T18:45:56.339Z,1.10
2025-03-17T18:40:41.417Z,0.80
2025-03-17T18:35:24.607Z,0.70
2025-03-17T18:30:09.769Z,1.20
2025-03-17T18:24:54.692Z,0.90
2025-03-17T18:19:39.764Z,1.10
2025-03-17T18:14:24.863Z,0.80
2025-03-17T18:09:10.027Z,2.00
2025-03-17T18:03:55.154Z,0.90
2025-03-17T17:58:40.131Z,1.00
2025-03-17T17:53:24.968Z,0.90
2025-03-17T17:48:10.244Z,1.20
2025-03-17T17:42:55.106Z,0.90
2025-03-17T17:37:40.158Z,0.90
2025-03-17T17:32:25.352Z,0.80
2025-03-17T17:27:10.400Z,1.00
2025-03-17T17:21:55.423Z,0.70
2025-03-17T17:16:46.105Z,0.80
2025-03-17T17:11:33.296Z,0.80
2025-03-17T17:06:10.797Z,0.80
2025-03-17T17:00:53.803Z,0.80
2025-03-17T16:55:38.950Z,0.60
2025-03-17T16:50:24.024Z,1.00
2025-03-17T16:45:09.339Z,0.50
2025-03-17T16:39:54.193Z,0.80
2025-03-17T16:34:47.866Z,0.70
2025-03-17T16:29:35.359Z,0.60
2025-03-17T16:24:30.483Z,0.80
2025-03-17T16:17:19.722Z,0.60
2025-03-17T16:12:03.474Z,0.90
2025-03-17T16:06:50.581Z,0.70
2025-03-17T16:01:32.597Z,0.90
2025-03-17T15:56:21.647Z,0.80
2025-03-17T15:51:02.735Z,0.50
2025-03-17T15:45:47.849Z,1.00
2025-03-17T15:40:32.893Z,0.80
2025-03-17T15:35:17.995Z,0.70
2025-03-17T15:30:03.204Z,0.50
2025-03-17T15:24:48.202Z,0.90
