createdAt,value
2025-03-12T23:59:44.097Z,1.10
2025-03-12T23:54:29.250Z,1.40
2025-03-12T23:49:14.395Z,1.30
2025-03-12T23:43:59.443Z,1.10
2025-03-12T23:38:42.502Z,1.10
2025-03-12T23:33:27.667Z,1.10
2025-03-12T23:28:12.668Z,1.40
2025-03-12T23:22:57.341Z,1.10
2025-03-12T23:17:42.402Z,0.90
2025-03-12T23:12:27.533Z,1.00
2025-03-12T23:07:13.768Z,1.10
2025-03-12T23:01:57.833Z,1.40
2025-03-12T22:55:35.662Z,1.50
2025-03-12T22:50:20.827Z,1.20
2025-03-12T22:45:16.057Z,1.30
2025-03-12T22:39:51.033Z,1.10
2025-03-12T22:34:36.068Z,1.70
2025-03-12T22:29:21.146Z,1.40
2025-03-12T22:24:06.404Z,1.20
2025-03-12T22:18:51.497Z,1.20
2025-03-12T22:13:36.476Z,1.00
2025-03-12T22:08:19.616Z,1.10
2025-03-12T22:03:04.605Z,0.80
2025-03-12T21:57:49.704Z,0.90
2025-03-12T21:52:34.760Z,1.00
2025-03-12T21:47:19.866Z,1.20
2025-03-12T21:42:04.952Z,1.10
2025-03-12T21:36:50.068Z,1.30
2025-03-12T21:31:36.461Z,1.80
2025-03-12T21:26:20.236Z,1.30
2025-03-12T21:21:14.539Z,1.80
2025-03-12T21:15:50.455Z,1.30
2025-03-12T21:10:35.436Z,1.60
2025-03-12T21:05:20.631Z,1.00
2025-03-12T21:00:05.827Z,1.60
2025-03-12T20:54:50.954Z,1.70
2025-03-12T20:49:35.887Z,1.20
2025-03-12T20:44:20.926Z,1.40
2025-03-12T20:39:06.058Z,1.10
2025-03-12T20:33:51.290Z,1.00
2025-03-12T20:28:34.210Z,1.30
2025-03-12T20:23:20.710Z,1.00
2025-03-12T20:18:04.558Z,1.60
2025-03-12T20:12:49.524Z,0.70
2025-03-12T20:07:34.618Z,1.10
2025-03-12T20:02:19.771Z,0.90
2025-03-12T19:57:04.791Z,0.80
2025-03-12T19:51:47.880Z,1.10
2025-03-12T19:46:32.937Z,1.00
2025-03-12T19:41:26.978Z,1.10
2025-03-12T19:36:09.896Z,0.70
2025-03-12T19:30:48.047Z,1.30
2025-03-12T19:25:33.020Z,1.00
2025-03-12T19:20:18.123Z,0.90
2025-03-12T19:15:03.343Z,1.00
2025-03-12T19:09:48.342Z,0.90
2025-03-12T19:04:33.652Z,0.90
2025-03-12T18:59:18.538Z,1.00
2025-03-12T18:54:03.632Z,0.90
2025-03-12T18:48:48.839Z,1.00
2025-03-12T18:43:33.765Z,1.00
2025-03-12T18:38:18.859Z,0.90
2025-03-12T18:33:04.024Z,0.80
2025-03-12T18:27:49.173Z,0.80
2025-03-12T18:22:34.182Z,0.90
2025-03-12T18:17:19.225Z,1.00
2025-03-12T18:12:04.408Z,1.50
2025-03-12T18:06:49.660Z,1.30
2025-03-12T18:01:47.555Z,1.50
2025-03-12T17:56:19.608Z,1.10
2025-03-12T17:51:14.527Z,1.20
2025-03-12T17:45:49.735Z,1.10
2025-03-12T17:40:34.907Z,1.20
2025-03-12T17:35:28.381Z,0.90
2025-03-12T17:30:05.190Z,1.00
2025-03-12T17:24:48.210Z,1.10
2025-03-12T17:19:33.312Z,1.40
2025-03-12T17:14:20.733Z,1.10
2025-03-12T17:09:03.458Z,0.80
2025-03-12T17:03:48.346Z,1.10
2025-03-12T16:58:33.273Z,1.10
2025-03-12T16:53:18.353Z,1.00
2025-03-12T16:48:03.625Z,1.30
2025-03-12T16:42:51.155Z,1.00
2025-03-12T16:37:33.901Z,1.40
2025-03-12T16:32:18.739Z,1.20
2025-03-12T16:27:10.379Z,0.90
2025-03-12T16:21:49.003Z,1.00
2025-03-12T16:16:35.784Z,0.90
2025-03-12T16:11:19.236Z,0.80
2025-03-12T16:06:13.817Z,1.00
2025-03-12T16:00:49.433Z,0.90
2025-03-12T15:55:34.347Z,1.00
2025-03-12T15:50:19.626Z,1.00
2025-03-12T15:45:02.565Z,1.30
2025-03-12T15:39:47.744Z,0.80
2025-03-12T15:34:32.807Z,1.00
2025-03-12T15:29:17.832Z,0.90
2025-03-12T15:24:03.029Z,1.00
2025-03-12T15:18:48.157Z,0.80
2025-03-12T15:13:33.073Z,0.60
2025-03-12T15:08:18.187Z,1.10
2025-03-12T15:03:03.474Z,0.60
2025-03-12T14:57:48.459Z,1.00
2025-03-12T14:52:33.556Z,0.60
2025-03-12T14:47:16.651Z,0.90
2025-03-12T14:42:01.749Z,0.80
2025-03-12T14:36:45.834Z,0.90
2025-03-12T14:31:35.252Z,0.70
2025-03-12T14:26:14.920Z,0.80
2025-03-12T14:21:01.827Z,0.80
2025-03-12T14:15:45.564Z,0.80
2025-03-12T14:10:30.194Z,0.70
2025-03-12T14:05:15.423Z,0.80
2025-03-12T14:00:00.492Z,0.80
2025-03-12T13:54:45.552Z,1.00
2025-03-12T13:49:30.689Z,0.80
2025-03-12T13:44:15.651Z,1.00
2025-03-12T13:39:00.814Z,1.10
2025-03-12T13:33:45.451Z,0.90
2025-03-12T13:28:30.452Z,0.80
2025-03-12T13:23:15.548Z,1.40
2025-03-12T13:18:00.921Z,1.30
2025-03-12T13:12:43.977Z,0.90
2025-03-12T13:07:28.936Z,0.80
2025-03-12T13:02:13.927Z,1.40
2025-03-12T12:56:59.029Z,0.60
2025-03-12T12:51:44.307Z,1.20
2025-03-12T12:46:36.920Z,1.00
2025-03-12T12:41:20.354Z,1.40
2025-03-12T12:35:57.833Z,1.00
2025-03-12T12:30:45.997Z,1.20
2025-03-12T12:25:30.831Z,0.80
2025-03-12T12:20:15.991Z,1.10
2025-03-12T12:14:57.139Z,1.20
2025-03-12T12:09:42.485Z,0.90
2025-03-12T12:04:30.721Z,1.50
2025-03-12T11:59:11.097Z,0.90
2025-03-12T11:53:56.177Z,0.80
2025-03-12T11:48:41.379Z,0.80
2025-03-12T11:43:26.330Z,0.80
2025-03-12T11:38:11.422Z,1.00
2025-03-12T11:32:56.661Z,1.20
2025-03-12T11:27:41.620Z,0.90
2025-03-12T11:22:26.770Z,1.20
2025-03-12T11:17:11.797Z,1.30
2025-03-12T11:11:56.999Z,1.20
2025-03-12T11:06:42.343Z,1.00
2025-03-12T11:01:36.428Z,0.80
2025-03-12T10:56:12.210Z,1.20
2025-03-12T10:50:57.390Z,1.00
2025-03-12T10:45:42.370Z,1.00
2025-03-12T10:40:27.474Z,1.10
2025-03-12T10:35:12.563Z,1.50
2025-03-12T10:29:57.700Z,1.10
2025-03-12T10:24:42.842Z,0.80
2025-03-12T10:19:28.087Z,1.20
2025-03-12T10:14:12.940Z,1.10
2025-03-12T10:08:58.120Z,1.00
2025-03-12T10:03:43.172Z,0.90
2025-03-12T09:58:35.322Z,1.20
2025-03-12T09:53:13.359Z,0.90
2025-03-12T09:47:58.543Z,1.20
2025-03-12T09:42:43.567Z,1.20
2025-03-12T09:37:28.614Z,1.20
2025-03-12T09:32:13.792Z,0.80
2025-03-12T09:26:58.867Z,1.30
2025-03-12T09:21:44.853Z,1.10
2025-03-12T09:16:32.753Z,1.10
2025-03-12T09:11:13.815Z,1.50
2025-03-12T09:06:00.220Z,1.00
2025-03-12T09:00:44.082Z,0.80
2025-03-12T08:55:29.090Z,1.80
2025-03-12T08:50:14.162Z,1.20
2025-03-12T08:44:59.287Z,1.20
2025-03-12T08:39:44.384Z,1.30
2025-03-12T08:34:31.818Z,1.60
2025-03-12T08:29:19.269Z,1.40
2025-03-12T08:23:57.670Z,1.20
2025-03-12T08:18:42.917Z,1.20
2025-03-12T08:13:27.866Z,1.40
2025-03-12T08:08:13.008Z,1.20
2025-03-12T08:02:58.250Z,1.10
2025-03-12T07:57:45.216Z,1.60
2025-03-12T07:52:28.259Z,1.70
2025-03-12T07:47:13.298Z,1.50
2025-03-12T07:41:58.433Z,1.40
2025-03-12T07:36:43.594Z,1.50
2025-03-12T07:31:26.598Z,2.10
2025-03-12T07:26:20.323Z,1.70
2025-03-12T07:20:56.805Z,1.90
2025-03-12T07:15:41.870Z,1.30
2025-03-12T07:10:26.942Z,1.70
2025-03-12T07:05:12.106Z,1.70
2025-03-12T06:59:57.191Z,1.50
2025-03-12T06:54:42.263Z,1.50
2025-03-12T06:49:27.430Z,1.40
2025-03-12T06:44:12.516Z,1.20
2025-03-12T06:38:57.566Z,1.50
2025-03-12T06:33:42.798Z,1.40
2025-03-12T06:28:27.694Z,1.40
2025-03-12T06:23:12.885Z,1.20
2025-03-12T06:17:57.926Z,2.40
2025-03-12T06:12:40.980Z,1.30
2025-03-12T06:07:26.082Z,1.60
2025-03-12T06:02:11.203Z,1.40
2025-03-12T05:56:56.333Z,1.30
2025-03-12T05:51:41.367Z,1.20
2025-03-12T05:46:36.246Z,1.80
2025-03-12T05:41:11.006Z,1.30
2025-03-12T05:35:56.187Z,1.30
2025-03-12T05:30:41.224Z,1.60
2025-03-12T05:25:29.797Z,1.50
