createdAt,value
2025-03-16T23:59:42.081Z,1.77
2025-03-16T23:54:27.155Z,1.79
2025-03-16T23:49:12.248Z,1.81
2025-03-16T23:43:57.467Z,1.83
2025-03-16T23:38:42.469Z,1.98
2025-03-16T23:33:27.658Z,2.05
2025-03-16T23:28:12.617Z,2.19
2025-03-16T23:22:57.724Z,2.32
2025-03-16T23:17:42.794Z,2.40
2025-03-16T23:12:27.855Z,2.47
2025-03-16T23:07:10.951Z,2.58
2025-03-16T23:01:57.750Z,2.66
2025-03-16T22:55:36.243Z,2.71
2025-03-16T22:50:21.223Z,2.84
2025-03-16T22:45:06.332Z,2.83
2025-03-16T22:39:49.384Z,2.95
2025-03-16T22:34:34.467Z,3.10
2025-03-16T22:29:19.520Z,3.23
2025-03-16T22:24:04.730Z,3.25
2025-03-16T22:18:49.739Z,3.33
2025-03-16T22:13:34.835Z,3.42
2025-03-16T22:08:17.872Z,3.52
2025-03-16T22:03:03.044Z,3.60
2025-03-16T21:57:47.936Z,3.70
2025-03-16T21:52:33.199Z,3.86
2025-03-16T21:47:18.266Z,3.99
2025-03-16T21:42:03.294Z,4.13
2025-03-16T21:36:48.326Z,4.18
2025-03-16T21:31:40.107Z,4.34
2025-03-16T21:26:18.448Z,4.50
2025-03-16T21:21:01.576Z,4.68
2025-03-16T21:15:44.667Z,4.83
2025-03-16T21:10:29.836Z,5.04
2025-03-16T21:05:14.963Z,5.15
2025-03-16T20:59:59.915Z,5.42
2025-03-16T20:54:45.010Z,5.58
2025-03-16T20:49:30.120Z,5.69
2025-03-16T20:44:15.204Z,5.81
2025-03-16T20:38:58.314Z,5.85
2025-03-16T20:33:43.603Z,5.95
2025-03-16T20:28:26.547Z,6.06
2025-03-16T20:23:11.657Z,6.19
2025-03-16T20:17:57.423Z,6.25
2025-03-16T20:12:39.879Z,6.32
2025-03-16T20:07:22.982Z,6.35
2025-03-16T20:02:08.286Z,6.42
2025-03-16T19:56:53.130Z,6.45
2025-03-16T19:51:50.242Z,6.57
2025-03-16T19:46:23.293Z,6.64
2025-03-16T19:41:08.335Z,6.69
2025-03-16T19:35:53.501Z,6.79
2025-03-16T19:30:38.527Z,6.83
2025-03-16T19:25:23.693Z,6.87
2025-03-16T19:20:08.870Z,6.91
2025-03-16T19:14:55.216Z,6.94
2025-03-16T19:09:38.948Z,7.16
2025-03-16T19:04:23.640Z,7.30
2025-03-16T18:59:08.591Z,7.41
2025-03-16T18:53:53.830Z,7.48
2025-03-16T18:48:38.768Z,7.66
2025-03-16T18:43:23.939Z,7.77
2025-03-16T18:38:08.965Z,7.92
2025-03-16T18:32:54.442Z,8.09
2025-03-16T18:27:39.308Z,8.09
2025-03-16T18:22:24.281Z,8.21
2025-03-16T18:17:09.367Z,8.45
2025-03-16T18:11:52.847Z,8.67
2025-03-16T18:06:48.539Z,8.86
2025-03-16T18:01:22.618Z,9.10
2025-03-16T17:56:05.608Z,9.23
2025-03-16T17:50:50.679Z,9.49
2025-03-16T17:45:33.916Z,9.65
2025-03-16T17:40:18.899Z,9.85
2025-03-16T17:35:04.091Z,10.11
2025-03-16T17:29:49.158Z,10.29
2025-03-16T17:24:34.226Z,10.44
2025-03-16T17:19:19.340Z,10.73
2025-03-16T17:14:04.384Z,10.99
2025-03-16T17:08:49.448Z,11.36
2025-03-16T17:03:32.845Z,12.08
2025-03-16T16:58:17.654Z,12.67
2025-03-16T16:53:06.515Z,13.16
2025-03-16T16:47:45.940Z,13.87
2025-03-16T16:42:30.966Z,14.80
2025-03-16T16:37:14.077Z,15.86
2025-03-16T16:31:59.265Z,15.99
2025-03-16T16:26:45.486Z,16.30
2025-03-16T16:21:29.324Z,16.26
2025-03-16T16:16:18.187Z,16.80
2025-03-16T16:10:59.609Z,16.55
2025-03-16T16:05:44.639Z,16.41
2025-03-16T16:00:29.356Z,16.29
2025-03-16T15:55:14.434Z,15.95
2025-03-16T15:49:59.591Z,16.11
2025-03-16T15:44:44.704Z,16.29
2025-03-16T15:39:29.741Z,16.18
2025-03-16T15:34:14.817Z,15.66
2025-03-16T15:28:59.930Z,15.62
2025-03-16T15:23:44.989Z,14.74
2025-03-16T15:18:30.155Z,14.52
2025-03-16T15:13:15.203Z,14.97
2025-03-16T15:08:00.401Z,15.33
2025-03-16T15:02:45.490Z,14.93
2025-03-16T14:57:30.449Z,15.12
2025-03-16T14:52:15.611Z,15.77
2025-03-16T14:47:01.450Z,15.35
2025-03-16T14:41:45.729Z,15.11
2025-03-16T14:36:39.147Z,16.11
2025-03-16T14:31:15.894Z,16.40
2025-03-16T14:26:00.968Z,16.41
2025-03-16T14:20:46.063Z,16.16
2025-03-16T14:15:31.169Z,16.07
2025-03-16T14:10:16.270Z,15.31
2025-03-16T14:05:01.460Z,14.80
2025-03-16T13:59:46.414Z,14.93
2025-03-16T13:54:31.478Z,15.38
2025-03-16T13:49:16.650Z,15.88
2025-03-16T13:44:01.693Z,15.49
2025-03-16T13:38:46.752Z,15.18
2025-03-16T13:33:31.829Z,14.75
2025-03-16T13:28:16.952Z,15.49
2025-03-16T13:23:01.969Z,15.89
2025-03-16T13:17:47.239Z,15.49
2025-03-16T13:12:32.126Z,14.71
2025-03-16T13:07:17.253Z,15.11
2025-03-16T13:02:02.340Z,15.70
2025-03-16T12:56:48.059Z,15.28
2025-03-16T12:51:32.441Z,15.60
2025-03-16T12:46:24.652Z,15.35
2025-03-16T12:41:02.683Z,15.27
2025-03-16T12:35:47.694Z,15.04
2025-03-16T12:30:32.817Z,14.82
2025-03-16T12:25:17.886Z,14.63
2025-03-16T12:20:03.109Z,14.02
2025-03-16T12:14:48.045Z,14.54
2025-03-16T12:09:33.112Z,14.08
2025-03-16T12:04:18.334Z,14.08
2025-03-16T11:59:03.282Z,14.04
2025-03-16T11:53:48.323Z,14.02
2025-03-16T11:48:33.694Z,13.76
2025-03-16T11:43:18.546Z,13.54
2025-03-16T11:38:03.572Z,13.36
2025-03-16T11:32:48.753Z,12.95
2025-03-16T11:27:34.208Z,11.96
2025-03-16T11:22:18.919Z,11.63
2025-03-16T11:17:03.959Z,11.12
2025-03-16T11:11:49.036Z,11.41
2025-03-16T11:06:40.900Z,11.78
2025-03-16T11:01:19.227Z,11.21
2025-03-16T10:56:04.324Z,11.28
2025-03-16T10:50:49.329Z,11.12
2025-03-16T10:45:34.442Z,11.06
2025-03-16T10:40:19.566Z,11.31
2025-03-16T10:35:04.604Z,11.42
2025-03-16T10:29:52.212Z,11.01
2025-03-16T10:24:34.755Z,10.57
2025-03-16T10:19:19.972Z,10.62
2025-03-16T10:14:05.018Z,10.16
2025-03-16T10:08:49.738Z,9.49
2025-03-16T10:03:34.816Z,9.38
2025-03-16T09:58:18.017Z,9.10
2025-03-16T09:53:02.968Z,8.83
2025-03-16T09:47:48.112Z,8.07
2025-03-16T09:42:33.145Z,7.77
2025-03-16T09:37:18.277Z,7.36
2025-03-16T09:32:03.325Z,7.26
2025-03-16T09:26:52.605Z,7.23
2025-03-16T09:21:33.521Z,6.87
2025-03-16T09:16:25.654Z,6.54
2025-03-16T09:11:03.759Z,6.28
2025-03-16T09:05:48.950Z,6.17
2025-03-16T09:00:34.064Z,5.99
2025-03-16T08:55:19.048Z,5.81
2025-03-16T08:50:04.032Z,5.69
2025-03-16T08:44:49.139Z,5.55
2025-03-16T08:39:34.279Z,5.38
2025-03-16T08:34:19.363Z,5.12
2025-03-16T08:29:04.393Z,4.88
2025-03-16T08:23:49.531Z,4.71
2025-03-16T08:18:32.724Z,4.62
2025-03-16T08:13:17.654Z,4.39
2025-03-16T08:08:02.718Z,4.18
2025-03-16T08:02:47.870Z,4.08
2025-03-16T07:57:32.864Z,3.89
2025-03-16T07:52:17.943Z,3.70
2025-03-16T07:47:03.116Z,3.46
2025-03-16T07:41:48.111Z,3.28
2025-03-16T07:36:36.392Z,3.16
2025-03-16T07:31:16.253Z,2.99
2025-03-16T07:26:01.356Z,2.81
2025-03-16T07:20:46.341Z,2.63
2025-03-16T07:15:31.431Z,2.47
2025-03-16T07:10:16.589Z,2.29
2025-03-16T07:05:01.546Z,2.14
2025-03-16T06:59:46.607Z,1.95
2025-03-16T06:54:31.688Z,1.81
2025-03-16T06:49:16.861Z,1.70
2025-03-16T06:44:01.837Z,1.56
2025-03-16T06:38:46.914Z,1.52
2025-03-16T06:33:32.040Z,1.50
2025-03-16T06:28:17.124Z,1.52
2025-03-16T06:23:02.131Z,1.46
2025-03-16T06:17:47.253Z,1.42
2025-03-16T06:12:34.702Z,1.35
2025-03-16T06:07:17.407Z,1.42
2025-03-16T06:02:02.544Z,1.42
2025-03-16T05:56:47.476Z,1.42
2025-03-16T05:51:32.566Z,1.44
2025-03-16T05:46:25.402Z,1.42
2025-03-16T05:41:02.703Z,1.46
2025-03-16T05:35:47.754Z,1.49
2025-03-16T05:30:32.828Z,1.56
2025-03-16T05:25:17.960Z,1.56
2025-03-16T05:20:03.048Z,1.60
2025-03-16T05:14:48.163Z,1.64
2025-03-16T05:09:33.190Z,1.65
2025-03-16T05:04:18.379Z,1.67
2025-03-16T04:59:03.344Z,1.79
2025-03-16T04:53:48.514Z,1.81
2025-03-16T04:48:33.595Z,1.89
2025-03-16T04:43:18.632Z,1.93
2025-03-16T04:38:03.602Z,2.05
2025-03-16T04:32:46.799Z,2.15
2025-03-16T04:27:31.729Z,2.22
2025-03-16T04:22:16.834Z,2.30
2025-03-16T04:17:01.900Z,2.37
2025-03-16T04:11:46.973Z,2.44
2025-03-16T04:06:43.505Z,2.50
2025-03-16T04:01:17.162Z,2.61
2025-03-16T03:56:02.193Z,2.73
2025-03-16T03:50:47.269Z,2.83
2025-03-16T03:45:32.310Z,2.98
2025-03-16T03:35:02.546Z,3.16
2025-03-16T03:29:49.765Z,3.25
2025-03-16T03:24:32.645Z,3.41
2025-03-16T03:19:15.807Z,3.57
2025-03-16T03:13:58.814Z,3.74
2025-03-16T03:08:44.525Z,3.88
2025-03-16T03:03:28.919Z,4.06
2025-03-16T02:58:14.074Z,4.25
2025-03-16T02:52:59.082Z,4.43
2025-03-16T02:47:44.142Z,4.64
2025-03-16T02:42:29.200Z,4.68
2025-03-16T02:37:14.346Z,4.67
2025-03-16T02:31:59.374Z,4.74
2025-03-16T02:26:49.469Z,4.79
2025-03-16T02:21:29.514Z,4.86
2025-03-16T02:16:23.650Z,4.87
2025-03-16T02:10:59.704Z,4.84
2025-03-16T02:05:44.782Z,4.93
2025-03-16T02:00:29.791Z,4.91
2025-03-16T01:55:15.148Z,4.88
2025-03-16T01:50:04.673Z,4.90
2025-03-16T01:44:45.076Z,4.94
2025-03-16T01:39:30.183Z,4.96
2025-03-16T01:34:16.059Z,5.01
2025-03-16T01:29:00.393Z,5.11
2025-03-16T01:23:43.339Z,5.11
2025-03-16T01:18:26.516Z,5.08
2025-03-16T01:13:11.504Z,5.17
2025-03-16T01:07:56.704Z,5.20
2025-03-16T01:02:41.841Z,5.32
2025-03-16T00:57:26.809Z,5.44
2025-03-16T00:52:11.875Z,5.44
2025-03-16T00:46:57.053Z,5.48
2025-03-16T00:41:50.052Z,5.48
2025-03-16T00:36:27.069Z,5.45
2025-03-16T00:31:18.492Z,5.47
2025-03-16T00:25:57.231Z,5.47
2025-03-16T00:20:42.262Z,5.45
2025-03-16T00:15:27.319Z,5.45
2025-03-16T00:10:12.454Z,5.49
2025-03-16T00:04:57.563Z,5.52
