createdAt,value
2025-04-09T23:57:25.793Z,0.00
2025-04-09T23:52:10.906Z,0.00
2025-04-09T23:46:55.991Z,0.00
2025-04-09T23:41:41.068Z,0.00
2025-04-09T23:36:26.294Z,0.00
2025-04-09T23:31:17.889Z,0.00
2025-04-09T23:25:56.343Z,0.00
2025-04-09T23:20:41.487Z,0.00
2025-04-09T23:15:34.684Z,0.00
2025-04-09T23:10:09.747Z,0.00
2025-04-09T23:04:54.953Z,0.00
2025-04-09T22:59:39.982Z,0.00
2025-04-09T22:54:24.864Z,0.00
2025-04-09T22:49:10.033Z,0.00
2025-04-09T22:43:55.065Z,0.00
2025-04-09T22:38:50.618Z,0.00
2025-04-09T22:33:25.350Z,0.00
2025-04-09T22:28:10.350Z,0.00
2025-04-09T22:22:55.733Z,0.00
2025-04-09T22:17:40.657Z,0.00
2025-04-09T22:12:25.767Z,0.00
2025-04-09T22:07:17.346Z,0.00
2025-04-09T22:01:57.725Z,0.00
2025-04-09T21:55:18.200Z,0.00
2025-04-09T21:50:03.429Z,0.00
2025-04-09T21:44:46.611Z,0.00
2025-04-09T21:39:31.509Z,0.00
2025-04-09T21:34:16.792Z,0.00
2025-04-09T21:29:05.763Z,0.00
2025-04-09T21:23:52.288Z,0.00
2025-04-09T21:18:31.888Z,0.00
2025-04-09T21:13:16.888Z,0.00
2025-04-09T21:08:01.990Z,0.00
2025-04-09T21:02:47.307Z,0.00
2025-04-09T20:57:32.150Z,0.00
2025-04-09T20:52:17.377Z,0.00
2025-04-09T20:47:02.364Z,0.00
2025-04-09T20:41:47.521Z,0.00
2025-04-09T20:36:32.696Z,0.00
2025-04-09T20:31:21.623Z,0.00
2025-04-09T20:26:02.738Z,0.00
2025-04-09T20:20:48.925Z,0.00
2025-04-09T20:15:32.929Z,0.00
2025-04-09T20:10:18.189Z,0.00
2025-04-09T20:05:03.280Z,0.00
2025-04-09T19:59:48.360Z,0.00
2025-04-09T19:54:33.355Z,0.00
2025-04-09T19:49:18.615Z,0.00
2025-04-09T19:44:01.507Z,0.00
2025-04-09T19:38:46.648Z,0.00
2025-04-09T19:33:31.813Z,0.00
2025-04-09T19:28:16.780Z,0.00
2025-04-09T19:23:01.868Z,0.00
2025-04-09T19:17:47.080Z,0.00
2025-04-09T19:12:32.317Z,0.00
2025-04-09T19:07:17.366Z,0.00
2025-04-09T19:02:02.556Z,0.00
2025-04-09T18:56:47.402Z,0.00
2025-04-09T18:51:34.962Z,0.00
2025-04-09T18:46:17.491Z,0.00
2025-04-09T18:41:08.872Z,0.00
2025-04-09T18:35:47.763Z,0.00
2025-04-09T18:30:33.773Z,0.00
2025-04-09T18:25:17.889Z,0.00
2025-04-09T18:20:02.987Z,0.00
2025-04-09T18:14:48.250Z,0.00
2025-04-09T18:09:33.173Z,0.00
2025-04-09T18:04:18.596Z,0.00
2025-04-09T17:59:03.376Z,0.00
2025-04-09T17:53:48.815Z,0.00
2025-04-09T17:48:31.695Z,5.62
2025-04-09T17:43:16.838Z,5.62
2025-04-09T17:38:01.761Z,5.62
2025-04-09T17:32:46.954Z,5.62
2025-04-09T17:27:31.885Z,11.25
2025-04-09T17:22:17.125Z,11.25
2025-04-09T17:17:02.122Z,16.88
2025-04-09T17:11:47.398Z,16.88
2025-04-09T17:06:32.223Z,16.88
2025-04-09T17:01:18.892Z,16.88
2025-04-09T16:56:02.395Z,16.88
2025-04-09T16:50:48.229Z,22.50
2025-04-09T16:45:32.575Z,22.50
2025-04-09T16:40:17.659Z,22.50
2025-04-09T16:35:02.762Z,22.50
2025-04-09T16:29:47.867Z,28.12
2025-04-09T16:24:33.043Z,28.12
2025-04-09T16:19:15.962Z,28.12
2025-04-09T16:14:01.065Z,28.12
2025-04-09T16:08:46.195Z,28.12
2025-04-09T16:03:31.533Z,28.12
2025-04-09T15:58:14.301Z,33.75
2025-04-09T15:52:59.548Z,33.75
2025-04-09T15:47:44.793Z,33.75
