createdAt,value
2025-03-20T23:59:39.945Z,86.72
2025-03-20T23:54:24.949Z,86.61
2025-03-20T23:49:10.090Z,87.96
2025-03-20T23:43:55.190Z,87.65
2025-03-20T23:33:25.427Z,87.51
2025-03-20T23:28:17.799Z,87.60
2025-03-20T23:22:55.588Z,87.98
2025-03-20T23:17:40.690Z,84.27
2025-03-20T23:12:25.774Z,82.86
2025-03-20T23:07:10.852Z,82.65
2025-03-20T23:01:56.030Z,81.69
2025-03-20T22:55:04.105Z,82.00
2025-03-20T22:49:49.376Z,82.10
2025-03-20T22:44:34.347Z,81.59
2025-03-20T22:39:19.403Z,81.24
2025-03-20T22:34:04.587Z,80.93
2025-03-20T22:28:49.653Z,80.58
2025-03-20T22:23:34.690Z,79.77
2025-03-20T22:18:28.316Z,79.73
2025-03-20T22:13:04.904Z,79.63
2025-03-20T22:07:50.104Z,79.73
2025-03-20T22:02:35.187Z,80.55
2025-03-20T21:57:20.186Z,79.90
2025-03-20T21:52:05.267Z,78.67
2025-03-20T21:46:50.412Z,78.22
2025-03-20T21:41:35.460Z,78.22
2025-03-20T21:36:20.619Z,77.26
2025-03-20T21:31:08.999Z,76.54
2025-03-20T21:25:50.791Z,75.89
2025-03-20T21:20:35.796Z,75.99
2025-03-20T21:15:20.905Z,75.96
2025-03-20T21:10:06.050Z,75.96
2025-03-20T21:04:51.149Z,75.10
2025-03-20T20:59:36.189Z,74.15
2025-03-20T20:54:21.290Z,72.92
2025-03-20T20:49:06.577Z,72.21
2025-03-20T20:43:51.512Z,70.10
2025-03-20T20:38:39.632Z,69.45
2025-03-20T20:33:30.260Z,69.24
2025-03-20T20:28:09.891Z,68.91
2025-03-20T20:22:51.890Z,69.01
2025-03-20T20:17:37.002Z,67.96
2025-03-20T20:12:22.109Z,67.32
2025-03-20T20:07:07.127Z,67.21
2025-03-20T20:01:52.302Z,67.18
2025-03-20T19:56:37.347Z,67.08
2025-03-20T19:51:22.453Z,66.54
