createdAt,value
2025-03-22T23:59:12.040Z,3.30
2025-03-22T23:58:14.235Z,3.20
2025-03-22T23:57:12.049Z,3.10
2025-03-22T23:56:12.118Z,2.80
2025-03-22T23:55:12.078Z,3.20
2025-03-22T23:54:12.086Z,3.80
2025-03-22T23:53:12.168Z,3.40
2025-03-22T23:52:12.101Z,3.10
2025-03-22T23:51:12.110Z,3.20
2025-03-22T23:50:15.219Z,3.70
2025-03-22T23:49:12.318Z,3.20
2025-03-22T23:48:16.354Z,3.00
2025-03-22T23:47:12.264Z,2.90
2025-03-22T23:46:12.167Z,3.70
2025-03-22T23:45:12.174Z,3.20
2025-03-22T23:44:12.279Z,2.90
2025-03-22T23:43:12.186Z,3.10
2025-03-22T23:42:12.199Z,2.50
2025-03-22T23:41:12.356Z,3.50
2025-03-22T23:40:12.219Z,3.60
2025-03-22T23:39:12.276Z,3.80
2025-03-22T23:38:13.409Z,3.40
2025-03-22T23:37:12.248Z,3.20
2025-03-22T23:36:12.268Z,2.80
2025-03-22T23:35:12.298Z,2.70
2025-03-22T23:34:12.308Z,3.00
2025-03-22T23:33:12.418Z,2.90
2025-03-22T23:32:12.534Z,3.40
2025-03-22T23:31:12.310Z,2.90
2025-03-22T23:30:12.326Z,3.40
2025-03-22T23:29:12.386Z,3.20
2025-03-22T23:28:15.173Z,2.80
2025-03-22T23:27:12.366Z,3.00
2025-03-22T23:26:12.452Z,3.50
2025-03-22T23:25:12.369Z,2.80
2025-03-22T23:24:12.381Z,3.10
2025-03-22T23:23:12.460Z,3.30
2025-03-22T23:22:12.398Z,3.20
2025-03-22T23:21:12.414Z,3.00
2025-03-22T23:20:12.506Z,2.80
2025-03-22T23:19:12.550Z,3.00
2025-03-22T23:18:15.150Z,3.30
2025-03-22T23:17:12.521Z,2.90
2025-03-22T23:16:12.477Z,3.30
2025-03-22T23:15:12.471Z,3.30
2025-03-22T23:14:12.557Z,2.70
2025-03-22T23:13:12.489Z,3.10
2025-03-22T23:12:12.521Z,2.80
2025-03-22T23:11:12.624Z,3.20
2025-03-22T23:10:12.519Z,3.50
2025-03-22T23:09:12.553Z,3.10
2025-03-22T23:08:13.173Z,2.50
2025-03-22T23:07:12.548Z,3.30
