createdAt,value
2025-03-17T23:59:19.496Z,56.23
2025-03-17T23:58:19.506Z,56.86
2025-03-17T23:57:19.562Z,56.54
2025-03-17T23:56:23.497Z,56.65
2025-03-17T23:55:19.537Z,57.59
2025-03-17T23:54:19.625Z,57.38
2025-03-17T23:53:19.553Z,57.07
2025-03-17T23:52:19.574Z,55.58
2025-03-17T23:51:19.677Z,54.85
2025-03-17T23:50:19.589Z,54.96
2025-03-17T23:49:19.599Z,55.06
2025-03-17T23:48:19.713Z,55.06
2025-03-17T23:47:19.632Z,54.85
2025-03-17T23:46:23.507Z,54.75
2025-03-17T23:45:19.741Z,54.64
2025-03-17T23:44:19.640Z,54.96
2025-03-17T23:43:19.661Z,54.64
2025-03-17T23:42:19.721Z,54.43
2025-03-17T23:41:19.672Z,54.53
2025-03-17T23:40:19.682Z,54.12
2025-03-17T23:39:19.872Z,53.68
2025-03-17T23:38:19.710Z,52.64
2025-03-17T23:37:19.714Z,51.59
2025-03-17T23:36:28.930Z,50.87
2025-03-17T23:35:19.730Z,50.65
2025-03-17T23:34:19.914Z,50.65
2025-03-17T23:33:19.855Z,50.45
2025-03-17T23:32:21.816Z,49.80
2025-03-17T23:31:28.847Z,49.19
2025-03-17T23:30:19.796Z,49.49
2025-03-17T23:29:19.781Z,50.11
2025-03-17T23:28:19.789Z,50.32
2025-03-17T23:27:19.884Z,50.74
2025-03-17T23:26:26.005Z,50.74
2025-03-17T23:25:19.828Z,49.80
2025-03-17T23:24:19.880Z,49.28
2025-03-17T23:23:19.860Z,48.24
2025-03-17T23:22:19.859Z,47.51
2025-03-17T23:21:29.482Z,47.40
2025-03-17T23:20:19.877Z,47.07
2025-03-17T23:19:19.896Z,47.17
2025-03-17T23:18:20.118Z,47.59
2025-03-17T23:17:19.906Z,47.69
2025-03-17T23:16:25.723Z,48.00
2025-03-17T23:15:19.972Z,46.66
2025-03-17T23:14:19.945Z,46.66
2025-03-17T23:13:19.955Z,46.66
2025-03-17T23:12:19.990Z,46.13
2025-03-17T23:11:28.799Z,46.23
2025-03-17T23:10:19.960Z,46.03
2025-03-17T23:09:20.061Z,45.59
2025-03-17T23:08:19.987Z,45.20
2025-03-17T23:07:19.995Z,45.07
2025-03-17T23:06:20.075Z,45.07
2025-03-17T23:05:20.014Z,45.70
2025-03-17T23:04:20.165Z,46.42
2025-03-17T23:03:20.166Z,46.42
2025-03-17T23:02:20.124Z,45.80
2025-03-17T23:01:24.789Z,45.38
2025-03-17T23:00:21.901Z,45.70
2025-03-17T22:59:20.078Z,44.55
2025-03-17T22:58:20.079Z,44.65
2025-03-17T22:57:20.142Z,43.40
2025-03-17T22:56:20.093Z,43.07
2025-03-17T22:55:20.116Z,43.07
2025-03-17T22:54:20.156Z,43.18
2025-03-17T22:53:20.128Z,43.49
2025-03-17T22:52:20.140Z,43.70
2025-03-17T22:51:26.498Z,43.28
2025-03-17T22:50:20.153Z,42.97
2025-03-17T22:49:20.177Z,43.07
2025-03-17T22:48:20.281Z,42.45
2025-03-17T22:47:20.238Z,42.32
2025-03-17T22:46:29.012Z,42.22
2025-03-17T22:45:20.280Z,42.32
2025-03-17T22:44:20.218Z,42.43
2025-03-17T22:43:20.226Z,42.32
2025-03-17T22:42:23.123Z,42.32
2025-03-17T22:41:20.249Z,42.22
2025-03-17T22:40:20.260Z,42.43
2025-03-17T22:39:20.304Z,42.74
2025-03-17T22:38:20.279Z,43.05
2025-03-17T22:37:22.921Z,42.95
2025-03-17T22:36:27.944Z,42.43
2025-03-17T22:35:20.311Z,42.30
2025-03-17T22:34:20.440Z,43.05
2025-03-17T22:33:20.500Z,43.66
2025-03-17T22:32:20.351Z,43.35
2025-03-17T22:31:20.340Z,44.28
2025-03-17T22:30:20.409Z,43.45
2025-03-17T22:29:20.357Z,43.87
2025-03-17T22:28:20.376Z,44.07
2025-03-17T22:27:20.508Z,44.28
2025-03-17T22:26:25.839Z,44.07
