createdAt,value
2025-03-16T23:59:53.561Z,41.2
2025-03-16T23:58:37.312Z,41.8
2025-03-16T23:57:21.000Z,41
2025-03-16T23:56:04.816Z,40.9
2025-03-16T23:54:48.567Z,40.9
2025-03-16T23:53:32.319Z,41
2025-03-16T23:52:16.071Z,41
2025-03-16T23:50:59.823Z,41
2025-03-16T23:49:43.574Z,41.7
2025-03-16T23:48:27.326Z,41.2
2025-03-16T23:47:11.078Z,41.2
2025-03-16T23:45:54.000Z,41
2025-03-16T23:44:39.565Z,41.2
2025-03-16T23:43:23.000Z,41
2025-03-16T23:42:07.069Z,41.2
2025-03-16T23:40:50.820Z,40.2
2025-03-16T23:39:34.572Z,41
2025-03-16T23:38:18.000Z,40.9
2025-03-16T23:37:02.076Z,40.9
2025-03-16T23:35:45.827Z,41.4
2025-03-16T23:34:29.579Z,40.9
2025-03-16T23:33:13.331Z,40.9
2025-03-16T23:31:57.082Z,41.7
2025-03-16T23:30:40.000Z,40.7
2025-03-16T23:29:24.585Z,42.7
2025-03-16T23:28:09.000Z,41
2025-03-16T23:26:53.000Z,40.9
2025-03-16T23:25:36.000Z,40.9
2025-03-16T23:24:20.576Z,41
2025-03-16T23:23:04.328Z,40.6
2025-03-16T23:21:48.080Z,41.2
2025-03-16T23:20:31.000Z,40.7
2025-03-16T23:19:15.583Z,40.7
2025-03-16T23:17:59.335Z,41.2
2025-03-16T23:16:43.086Z,40.9
2025-03-16T23:15:26.838Z,40.4
2025-03-16T23:14:10.590Z,41
2025-03-16T23:12:54.000Z,40.9
2025-03-16T23:11:39.000Z,40.6
2025-03-16T23:10:22.829Z,40.6
2025-03-16T23:09:06.581Z,40.2
2025-03-16T23:07:50.000Z,40.6
2025-03-16T23:06:34.084Z,40.2
2025-03-16T23:05:17.835Z,41
2025-03-16T23:04:01.587Z,40.6
2025-03-16T23:02:45.338Z,40.4
2025-03-16T23:01:29.090Z,40.6
2025-03-16T23:00:12.842Z,40.1
2025-03-16T22:58:56.593Z,40.2
2025-03-16T22:57:40.345Z,41.7
2025-03-16T22:56:24.097Z,40.2
2025-03-16T22:55:08.832Z,40.4
2025-03-16T22:53:52.584Z,41.4
2025-03-16T22:52:36.336Z,40.1
2025-03-16T22:51:20.088Z,39.7
2025-03-16T22:50:03.840Z,40.2
2025-03-16T22:48:47.591Z,41
2025-03-16T22:47:31.000Z,40.6
2025-03-16T22:46:15.095Z,39.7
2025-03-16T22:44:58.847Z,41
2025-03-16T22:43:42.598Z,40.2
2025-03-16T22:42:26.000Z,40.4
2025-03-16T22:41:10.102Z,39.9
2025-03-16T22:39:53.000Z,42.3
2025-03-16T22:38:38.589Z,40.1
2025-03-16T22:37:22.341Z,40.6
2025-03-16T22:36:06.093Z,40.1
2025-03-16T22:34:49.000Z,40.4
2025-03-16T22:33:33.000Z,40.1
2025-03-16T22:32:17.348Z,39.9
