createdAt,value
2025-03-25T23:59:00.000Z,11.7
2025-03-25T23:57:44.321Z,11.8
2025-03-25T23:56:28.073Z,11.2
2025-03-25T23:55:11.824Z,11.3
2025-03-25T23:53:55.576Z,11.9
2025-03-25T23:52:39.328Z,11.5
2025-03-25T23:51:23.079Z,11.5
2025-03-25T23:50:06.831Z,11.5
2025-03-25T23:48:51.566Z,11.6
2025-03-25T23:47:35.318Z,12.5
2025-03-25T23:46:19.070Z,12.1
2025-03-25T23:45:02.822Z,11.7
2025-03-25T23:43:46.573Z,12
2025-03-25T23:42:30.325Z,11.8
2025-03-25T23:41:14.077Z,11.6
2025-03-25T23:39:57.828Z,11.5
2025-03-25T23:38:41.580Z,11.8
2025-03-25T23:37:25.332Z,11.7
2025-03-25T23:36:09.000Z,11.6
2025-03-25T23:34:52.835Z,11.6
2025-03-25T23:33:36.586Z,11.9
2025-03-25T23:32:21.000Z,11.3
2025-03-25T23:31:05.074Z,12
2025-03-25T23:29:48.825Z,12
2025-03-25T23:28:32.577Z,12.1
2025-03-25T23:27:16.329Z,12.1
2025-03-25T23:26:00.081Z,12
2025-03-25T23:24:43.832Z,12.6
2025-03-25T23:23:27.584Z,12.3
2025-03-25T23:22:11.335Z,11.9
2025-03-25T23:20:55.087Z,12.1
2025-03-25T23:19:38.839Z,12.1
2025-03-25T23:18:22.591Z,12.6
2025-03-25T23:17:06.342Z,12.2
2025-03-25T23:15:51.078Z,12.7
2025-03-25T23:14:34.829Z,12.4
2025-03-25T23:13:18.000Z,12.5
2025-03-25T23:12:02.000Z,12.3
2025-03-25T23:10:46.084Z,12.7
2025-03-25T23:09:29.836Z,12.2
2025-03-25T23:08:13.588Z,12.4
2025-03-25T23:06:57.339Z,12.2
2025-03-25T23:05:41.091Z,11.9
2025-03-25T23:04:24.843Z,12.7
2025-03-25T23:03:08.594Z,12.4
2025-03-25T23:01:52.344Z,12.2
2025-03-25T23:00:36.096Z,12
2025-03-25T22:59:20.831Z,12.4
2025-03-25T22:58:04.583Z,12.9
2025-03-25T22:56:48.335Z,11.7
2025-03-25T22:55:32.086Z,13.5
2025-03-25T22:54:15.838Z,12.5
2025-03-25T22:52:59.590Z,12.4
2025-03-25T22:51:43.341Z,12.3
2025-03-25T22:50:27.093Z,12.7
2025-03-25T22:49:10.844Z,12.4
2025-03-25T22:47:54.596Z,12.5
2025-03-25T22:46:38.348Z,12.9
2025-03-25T22:45:22.100Z,12.6
2025-03-25T22:44:05.851Z,12.4
2025-03-25T22:42:50.587Z,12.7
2025-03-25T22:41:34.338Z,12.2
2025-03-25T22:40:18.090Z,13
2025-03-25T22:39:01.842Z,13.4
2025-03-25T22:37:45.000Z,12.2
2025-03-25T22:36:29.345Z,13.3
2025-03-25T22:35:14.000Z,12.4
2025-03-25T22:33:57.832Z,12.6
2025-03-25T22:32:41.584Z,13.2
2025-03-25T22:31:25.335Z,11.7
2025-03-25T22:30:09.087Z,13.1
2025-03-25T22:28:52.839Z,12.9
2025-03-25T22:27:36.591Z,12.6
2025-03-25T22:26:20.342Z,12.2
2025-03-25T22:25:04.094Z,12.5
2025-03-25T22:23:47.000Z,13
2025-03-25T22:22:31.597Z,12.7
2025-03-25T22:21:15.349Z,12.3
2025-03-25T22:19:59.100Z,12.8
2025-03-25T22:18:43.836Z,12.8
2025-03-25T22:17:27.587Z,12.6
2025-03-25T22:16:11.339Z,13
2025-03-25T22:14:55.090Z,12.3
2025-03-25T22:13:38.000Z,12.9
2025-03-25T22:12:22.594Z,13.1
2025-03-25T22:11:06.345Z,12.3
2025-03-25T22:09:50.097Z,12.6
2025-03-25T22:08:33.848Z,12
2025-03-25T22:07:17.599Z,12.2
2025-03-25T22:06:01.351Z,12.7
2025-03-25T22:04:45.102Z,12.2
2025-03-25T22:03:28.854Z,12.6
2025-03-25T22:02:13.589Z,12.8
2025-03-25T22:00:57.341Z,13.1
2025-03-25T21:59:41.093Z,12.6
2025-03-25T21:58:24.000Z,12.2
2025-03-25T21:57:08.595Z,12.7
2025-03-25T21:55:52.347Z,12.8
2025-03-25T21:54:36.098Z,12.3
2025-03-25T21:53:19.850Z,13.4
2025-03-25T21:52:03.601Z,12.2
2025-03-25T21:50:47.353Z,12.4
2025-03-25T21:49:31.104Z,11.9
2025-03-25T21:48:14.856Z,11.9
2025-03-25T21:46:58.608Z,12.7
2025-03-25T21:45:43.343Z,12.4
2025-03-25T21:44:27.000Z,12.5
2025-03-25T21:43:10.847Z,12.6
2025-03-25T21:41:54.000Z,11.9
2025-03-25T21:40:38.000Z,12.8
