createdAt,value
2025-04-08T23:59:44.239Z,42.38
2025-04-08T23:59:39.215Z,42.38
2025-04-08T23:59:34.148Z,42.38
2025-04-08T23:59:28.899Z,43.02
2025-04-08T23:59:23.814Z,43.99
2025-04-08T23:59:03.805Z,42.38
2025-04-08T23:58:43.806Z,42.06
2025-04-08T23:58:38.750Z,42.38
2025-04-08T23:58:33.707Z,42.38
2025-04-08T23:58:28.580Z,42.54
2025-04-08T23:58:23.177Z,42.70
2025-04-08T23:58:08.367Z,42.22
2025-04-08T23:57:40.211Z,42.70
2025-04-08T23:57:35.185Z,42.70
2025-04-08T23:57:30.169Z,42.38
2025-04-08T23:57:25.144Z,42.70
2025-04-08T23:57:15.123Z,42.86
2025-04-08T23:57:00.088Z,42.70
2025-04-08T23:56:40.089Z,42.70
2025-04-08T23:56:35.080Z,42.54
2025-04-08T23:56:30.022Z,42.54
2025-04-08T23:56:24.992Z,43.18
2025-04-08T23:56:19.534Z,42.86
2025-04-08T23:56:03.968Z,43.02
2025-04-08T23:55:36.691Z,42.70
2025-04-08T23:55:31.612Z,42.38
2025-04-08T23:55:26.510Z,42.38
2025-04-08T23:55:16.468Z,42.06
2025-04-08T23:55:11.412Z,42.38
2025-04-08T23:54:56.320Z,55.91
2025-04-08T23:54:36.325Z,42.38
2025-04-08T23:54:31.308Z,42.70
2025-04-08T23:54:26.269Z,42.22
2025-04-08T23:54:16.250Z,42.38
2025-04-08T23:54:11.221Z,42.70
2025-04-08T23:53:56.111Z,42.70
2025-04-08T23:53:36.091Z,43.18
2025-04-08T23:53:31.074Z,42.70
2025-04-08T23:53:26.020Z,43.51
2025-04-08T23:53:16.004Z,42.38
2025-04-08T23:53:10.968Z,42.38
2025-04-08T23:52:55.970Z,42.38
2025-04-08T23:52:35.893Z,42.22
2025-04-08T23:52:30.726Z,42.70
2025-04-08T23:52:25.657Z,42.22
2025-04-08T23:52:15.636Z,42.22
2025-04-08T23:52:10.606Z,42.70
2025-04-08T23:51:57.056Z,42.70
2025-04-08T23:51:40.821Z,42.38
2025-04-08T23:51:29.300Z,42.70
2025-04-08T23:51:24.268Z,42.38
2025-04-08T23:51:04.300Z,42.54
2025-04-08T23:50:54.272Z,42.70
2025-04-08T23:50:49.245Z,42.38
2025-04-08T23:50:34.203Z,42.70
2025-04-08T23:50:29.179Z,42.54
2025-04-08T23:50:24.155Z,42.54
2025-04-08T23:50:04.171Z,42.38
2025-04-08T23:49:54.169Z,42.54
2025-04-08T23:49:49.138Z,42.54
2025-04-08T23:49:34.151Z,42.22
2025-04-08T23:49:29.038Z,42.38
2025-04-08T23:49:23.991Z,42.38
2025-04-08T23:49:03.940Z,42.06
2025-04-08T23:48:53.922Z,42.06
2025-04-08T23:48:48.910Z,42.38
2025-04-08T23:48:33.900Z,42.38
2025-04-08T23:48:28.785Z,42.38
2025-04-08T23:48:23.758Z,42.54
2025-04-08T23:48:03.709Z,42.22
2025-04-08T23:47:53.554Z,42.38
2025-04-08T23:47:48.410Z,42.54
2025-04-08T23:47:33.176Z,43.02
2025-04-08T23:47:28.080Z,43.18
2025-04-08T23:47:23.049Z,49.15
2025-04-08T23:47:02.997Z,42.54
2025-04-08T23:46:52.864Z,42.06
2025-04-08T23:46:47.751Z,42.38
2025-04-08T23:46:32.636Z,43.18
2025-04-08T23:46:27.564Z,42.38
2025-04-08T23:46:22.231Z,42.22
2025-04-08T23:46:09.024Z,42.06
2025-04-08T23:45:54.970Z,42.06
2025-04-08T23:45:45.614Z,42.06
2025-04-08T23:45:34.962Z,42.22
2025-04-08T23:45:17.993Z,42.38
2025-04-08T23:44:51.424Z,42.54
2025-04-08T23:44:36.400Z,42.06
2025-04-08T23:44:31.375Z,42.22
2025-04-08T23:44:26.342Z,42.54
2025-04-08T23:44:16.292Z,42.06
2025-04-08T23:44:11.252Z,42.38
2025-04-08T23:43:51.212Z,42.22
2025-04-08T23:43:36.164Z,42.22
2025-04-08T23:43:31.120Z,42.22
2025-04-08T23:43:26.076Z,42.38
2025-04-08T23:43:16.012Z,42.54
2025-04-08T23:43:10.979Z,42.38
2025-04-08T23:42:50.944Z,42.38
2025-04-08T23:42:35.956Z,42.86
2025-04-08T23:42:30.921Z,47.53
2025-04-08T23:42:25.867Z,45.60
2025-04-08T23:42:15.847Z,42.38
2025-04-08T23:42:10.812Z,42.54
2025-04-08T23:41:50.536Z,42.22
2025-04-08T23:41:35.357Z,42.06
2025-04-08T23:41:30.333Z,42.38
2025-04-08T23:41:25.271Z,42.06
2025-04-08T23:41:15.259Z,42.54
2025-04-08T23:41:10.234Z,42.06
2025-04-08T23:40:50.285Z,42.38
2025-04-08T23:40:35.248Z,47.86
2025-04-08T23:40:30.111Z,43.99
2025-04-08T23:40:24.802Z,44.63
2025-04-08T23:40:14.705Z,43.83
2025-04-08T23:40:09.635Z,42.70
2025-04-08T23:39:49.497Z,42.06
2025-04-08T23:39:34.362Z,42.38
2025-04-08T23:39:29.332Z,42.22
2025-04-08T23:39:24.279Z,42.06
2025-04-08T23:39:14.260Z,42.70
2025-04-08T23:39:08.956Z,42.54
2025-04-08T23:38:55.844Z,42.38
2025-04-08T23:38:32.139Z,42.38
2025-04-08T23:38:27.114Z,42.70
