createdAt,value
2025-03-30T23:59:50.355Z,9.10
2025-03-30T23:59:39.892Z,9.10
2025-03-30T23:59:34.824Z,9.10
2025-03-30T23:59:29.795Z,9.10
2025-03-30T23:59:24.693Z,9.10
2025-03-30T23:59:09.128Z,9.13
2025-03-30T23:58:48.555Z,9.12
2025-03-30T23:58:38.255Z,9.10
2025-03-30T23:58:33.040Z,9.12
2025-03-30T23:58:27.963Z,9.13
2025-03-30T23:58:22.766Z,9.10
2025-03-30T23:58:07.309Z,9.16
2025-03-30T23:57:46.278Z,9.15
2025-03-30T23:57:35.007Z,9.16
2025-03-30T23:57:29.966Z,9.12
2025-03-30T23:57:24.872Z,9.13
2025-03-30T23:57:19.645Z,9.16
2025-03-30T23:57:04.114Z,9.15
2025-03-30T23:56:42.910Z,9.13
2025-03-30T23:56:32.867Z,9.13
2025-03-30T23:56:26.637Z,9.12
2025-03-30T23:56:21.566Z,9.13
2025-03-30T23:56:16.496Z,9.15
2025-03-30T23:56:00.182Z,9.13
2025-03-30T23:55:38.613Z,9.12
2025-03-30T23:55:28.455Z,9.12
2025-03-30T23:55:22.477Z,9.15
2025-03-30T23:55:17.430Z,9.13
2025-03-30T23:55:12.394Z,9.10
2025-03-30T23:54:56.943Z,9.13
2025-03-30T23:54:36.203Z,9.15
2025-03-30T23:54:25.390Z,9.12
2025-03-30T23:54:20.358Z,9.13
2025-03-30T23:54:14.229Z,9.13
2025-03-30T23:54:09.199Z,9.15
2025-03-30T23:53:58.325Z,9.16
2025-03-30T23:53:40.005Z,9.15
2025-03-30T23:53:15.039Z,9.15
2025-03-30T23:53:09.979Z,9.13
2025-03-30T23:52:54.454Z,9.13
2025-03-30T23:52:43.564Z,9.13
2025-03-30T23:52:38.361Z,9.15
2025-03-30T23:52:33.332Z,9.15
2025-03-30T23:52:11.756Z,9.15
2025-03-30T23:52:06.304Z,9.13
2025-03-30T23:51:49.499Z,9.15
2025-03-30T23:51:38.967Z,9.15
2025-03-30T23:51:33.905Z,9.15
2025-03-30T23:51:28.847Z,9.15
2025-03-30T23:51:08.159Z,9.19
2025-03-30T23:51:02.202Z,9.16
2025-03-30T23:50:46.162Z,9.16
2025-03-30T23:50:35.913Z,9.13
2025-03-30T23:50:30.386Z,9.17
2025-03-30T23:50:25.362Z,9.15
2025-03-30T23:50:04.963Z,9.16
2025-03-30T23:49:59.573Z,9.15
2025-03-30T23:49:44.164Z,9.15
2025-03-30T23:49:33.787Z,9.16
2025-03-30T23:49:28.714Z,9.15
2025-03-30T23:49:22.993Z,9.13
2025-03-30T23:49:02.343Z,9.13
2025-03-30T23:48:57.268Z,9.15
2025-03-30T23:48:41.712Z,9.15
2025-03-30T23:48:30.820Z,9.15
2025-03-30T23:48:25.778Z,9.15
2025-03-30T23:48:20.733Z,9.13
2025-03-30T23:48:00.131Z,9.15
2025-03-30T23:47:54.769Z,9.13
2025-03-30T23:47:39.453Z,9.15
2025-03-30T23:47:28.898Z,9.15
2025-03-30T23:47:23.830Z,9.15
2025-03-30T23:47:18.707Z,9.17
2025-03-30T23:46:57.962Z,9.17
2025-03-30T23:46:52.709Z,9.12
2025-03-30T23:46:36.226Z,9.17
2025-03-30T23:46:25.494Z,9.19
2025-03-30T23:46:20.380Z,9.17
2025-03-30T23:46:15.299Z,9.17
2025-03-30T23:45:54.891Z,9.17
2025-03-30T23:45:49.787Z,9.17
2025-03-30T23:45:33.750Z,9.17
2025-03-30T23:45:23.343Z,9.19
2025-03-30T23:45:18.279Z,9.16
2025-03-30T23:45:12.954Z,9.19
2025-03-30T23:44:52.920Z,9.19
2025-03-30T23:44:47.905Z,9.19
2025-03-30T23:44:32.609Z,9.19
2025-03-30T23:44:22.441Z,9.20
2025-03-30T23:44:16.992Z,9.17
2025-03-30T23:44:11.931Z,9.20
2025-03-30T23:44:05.093Z,9.19
2025-03-30T23:43:36.501Z,9.17
2025-03-30T23:43:11.128Z,9.20
2025-03-30T23:43:00.743Z,9.17
2025-03-30T23:42:50.661Z,9.22
2025-03-30T23:42:44.556Z,9.17
2025-03-30T23:42:39.500Z,9.20
2025-03-30T23:42:28.874Z,9.22
2025-03-30T23:42:08.530Z,9.17
2025-03-30T23:41:58.492Z,9.20
2025-03-30T23:41:47.690Z,9.22
2025-03-30T23:41:42.656Z,9.20
2025-03-30T23:41:36.714Z,9.19
2025-03-30T23:41:26.686Z,9.22
2025-03-30T23:41:06.308Z,9.20
2025-03-30T23:40:56.282Z,9.22
2025-03-30T23:40:46.031Z,9.22
2025-03-30T23:40:40.903Z,9.23
2025-03-30T23:40:35.749Z,9.22
2025-03-30T23:40:24.982Z,9.20
2025-03-30T23:40:04.572Z,9.22
2025-03-30T23:39:54.369Z,9.22
2025-03-30T23:39:43.619Z,9.20
2025-03-30T23:39:38.053Z,9.23
2025-03-30T23:39:32.886Z,9.24
2025-03-30T23:39:22.542Z,9.23
2025-03-30T23:39:00.374Z,9.20
2025-03-30T23:38:50.354Z,9.22
2025-03-30T23:38:39.568Z,9.26
2025-03-30T23:38:34.519Z,9.22
2025-03-30T23:38:28.694Z,9.23
2025-03-30T23:38:18.655Z,9.24
2025-03-30T23:37:57.920Z,9.27
2025-03-30T23:37:47.518Z,9.26
2025-03-30T23:37:36.860Z,9.26
2025-03-30T23:37:31.822Z,9.22
2025-03-30T23:37:26.743Z,9.24
2025-03-30T23:37:15.603Z,9.22
2025-03-30T23:36:55.321Z,9.22
2025-03-30T23:36:44.632Z,9.23
2025-03-30T23:36:34.582Z,9.24
2025-03-30T23:36:29.138Z,9.23
2025-03-30T23:36:24.113Z,9.19
2025-03-30T23:36:14.076Z,9.22
2025-03-30T23:35:53.218Z,9.22
2025-03-30T23:35:43.155Z,9.23
2025-03-30T23:35:32.368Z,9.19
2025-03-30T23:35:27.245Z,9.27
2025-03-30T23:35:22.082Z,9.23
2025-03-30T23:35:11.540Z,9.23
2025-03-30T23:34:51.027Z,9.22
2025-03-30T23:34:39.632Z,9.19
2025-03-30T23:34:28.898Z,9.23
2025-03-30T23:34:23.711Z,9.23
2025-03-30T23:34:18.407Z,9.20
2025-03-30T23:34:12.813Z,9.26
2025-03-30T23:33:54.510Z,9.23
2025-03-30T23:33:40.511Z,9.22
2025-03-30T23:33:30.134Z,9.26
2025-03-30T23:33:08.369Z,9.22
2025-03-30T23:32:54.074Z,9.24
2025-03-30T23:32:47.616Z,9.26
2025-03-30T23:32:42.238Z,9.24
2025-03-30T23:32:31.646Z,9.24
2025-03-30T23:32:15.295Z,9.26
2025-03-30T23:31:59.618Z,9.24
2025-03-30T23:31:49.064Z,9.22
2025-03-30T23:31:43.783Z,9.26
2025-03-30T23:31:38.661Z,9.24
2025-03-30T23:31:27.975Z,9.24
2025-03-30T23:31:12.514Z,9.27
2025-03-30T23:30:57.025Z,9.24
2025-03-30T23:30:47.001Z,9.24
2025-03-30T23:30:41.966Z,9.23
2025-03-30T23:30:36.688Z,9.22
2025-03-30T23:30:26.467Z,9.20
2025-03-30T23:30:10.647Z,9.24
2025-03-30T23:29:55.117Z,9.26
2025-03-30T23:29:44.647Z,9.23
2025-03-30T23:29:39.641Z,9.24
2025-03-30T23:29:34.313Z,9.26
2025-03-30T23:29:23.538Z,9.23
2025-03-30T23:29:07.724Z,9.24
2025-03-30T23:28:51.899Z,9.26
2025-03-30T23:28:41.266Z,9.26
2025-03-30T23:28:35.439Z,9.23
2025-03-30T23:28:30.350Z,9.23
2025-03-30T23:28:20.207Z,9.26
2025-03-30T23:28:04.837Z,9.26
2025-03-30T23:27:49.149Z,9.26
2025-03-30T23:27:38.612Z,9.26
2025-03-30T23:27:33.578Z,9.27
2025-03-30T23:27:28.549Z,9.26
2025-03-30T23:27:17.617Z,9.26
2025-03-30T23:27:01.922Z,9.31
2025-03-30T23:26:46.378Z,9.24
2025-03-30T23:26:36.170Z,9.23
2025-03-30T23:26:29.949Z,9.24
2025-03-30T23:26:24.635Z,9.26
2025-03-30T23:26:16.050Z,9.26
2025-03-30T23:25:57.925Z,9.27
2025-03-30T23:25:42.529Z,9.26
2025-03-30T23:25:32.398Z,9.24
2025-03-30T23:25:22.199Z,9.26
2025-03-30T23:25:17.159Z,9.26
2025-03-30T23:25:12.119Z,9.26
2025-03-30T23:24:56.900Z,9.26
