createdAt,value
2025-03-18T23:59:43.280Z,46.69
2025-03-18T23:58:43.437Z,46.80
2025-03-18T23:57:43.785Z,46.69
2025-03-18T23:56:52.574Z,46.69
2025-03-18T23:39:55.539Z,48.77
2025-03-18T23:38:55.545Z,48.77
2025-03-18T23:37:55.631Z,48.56
2025-03-18T23:36:58.268Z,47.81
2025-03-18T23:35:55.508Z,46.67
2025-03-18T23:34:55.528Z,47.19
2025-03-18T23:33:55.597Z,47.81
2025-03-18T23:32:55.609Z,48.22
2025-03-18T23:31:56.151Z,48.74
2025-03-18T23:30:55.548Z,48.02
2025-03-18T23:29:55.539Z,48.33
2025-03-18T23:28:55.591Z,48.35
2025-03-18T23:27:55.707Z,48.33
2025-03-18T23:25:57.060Z,48.35
2025-03-18T23:24:55.593Z,48.74
2025-03-18T23:23:55.622Z,49.60
2025-03-18T23:22:55.622Z,49.18
2025-03-18T23:21:55.657Z,48.35
2025-03-18T23:20:55.794Z,48.46
2025-03-18T23:19:55.645Z,48.56
2025-03-18T23:18:55.818Z,48.66
2025-03-18T23:17:55.833Z,48.56
2025-03-18T23:16:58.259Z,48.54
2025-03-18T23:15:55.745Z,48.43
2025-03-18T23:14:55.801Z,48.54
2025-03-18T23:13:55.732Z,48.74
2025-03-18T23:12:55.721Z,48.12
2025-03-18T23:11:59.485Z,47.91
2025-03-18T23:10:55.773Z,48.22
2025-03-18T23:09:55.815Z,48.54
2025-03-18T23:09:01.556Z,49.05
2025-03-18T23:07:55.836Z,48.74
2025-03-18T23:06:57.464Z,48.35
2025-03-18T23:05:55.859Z,48.25
2025-03-18T23:04:55.846Z,48.33
2025-03-18T23:03:55.972Z,47.91
2025-03-18T23:02:56.038Z,47.81
2025-03-18T23:01:55.859Z,47.50
2025-03-18T23:00:56.226Z,47.42
2025-03-18T22:59:55.986Z,47.42
2025-03-18T22:58:56.025Z,47.21
2025-03-18T22:57:56.184Z,47.21
2025-03-18T22:56:56.179Z,47.19
2025-03-18T22:55:55.974Z,47.42
2025-03-18T22:54:56.016Z,47.08
2025-03-18T22:53:56.187Z,46.98
2025-03-18T22:52:56.075Z,46.88
2025-03-18T22:51:56.159Z,46.98
2025-03-18T22:50:56.487Z,46.77
2025-03-18T22:49:56.127Z,46.67
2025-03-18T22:48:56.179Z,46.67
2025-03-18T22:47:56.387Z,46.98
2025-03-18T22:46:59.721Z,46.88
2025-03-18T22:45:56.164Z,46.46
2025-03-18T22:44:56.570Z,46.25
2025-03-18T22:43:56.297Z,45.94
2025-03-18T22:42:56.098Z,46.04
2025-03-18T22:41:56.060Z,45.84
2025-03-18T22:40:56.111Z,45.73
2025-03-18T22:39:56.086Z,45.42
2025-03-18T22:38:56.157Z,45.01
2025-03-18T22:37:56.096Z,44.80
2025-03-18T22:36:58.007Z,44.90
2025-03-18T22:35:56.132Z,45.01
2025-03-18T22:34:56.190Z,44.89
2025-03-18T22:33:56.317Z,44.37
2025-03-18T22:32:56.661Z,44.06
2025-03-18T22:31:56.171Z,43.85
2025-03-18T22:30:56.162Z,43.74
2025-03-18T22:29:56.250Z,43.85
2025-03-18T22:28:56.160Z,43.64
2025-03-18T22:27:56.209Z,43.43
2025-03-18T22:26:56.272Z,43.43
2025-03-18T22:25:56.227Z,43.12
2025-03-18T22:24:56.328Z,43.23
2025-03-18T22:23:57.051Z,43.00
2025-03-18T22:22:56.261Z,42.90
2025-03-18T22:21:56.858Z,42.79
2025-03-18T22:20:56.371Z,42.58
2025-03-18T22:19:56.332Z,42.27
2025-03-18T22:18:56.327Z,42.17
2025-03-18T22:17:56.454Z,41.55
2025-03-18T22:16:56.355Z,41.34
2025-03-18T22:15:56.349Z,41.11
2025-03-18T22:14:56.390Z,41.03
2025-03-18T22:13:56.416Z,40.72
2025-03-18T22:12:56.391Z,40.59
2025-03-18T22:11:56.450Z,40.59
2025-03-18T22:10:56.419Z,40.59
2025-03-18T22:09:56.434Z,40.59
2025-03-18T22:09:01.544Z,40.70
2025-03-18T21:57:52.383Z,39.67
2025-03-18T21:56:54.386Z,39.67
2025-03-18T21:55:52.474Z,39.77
2025-03-18T21:54:52.436Z,39.56
2025-03-18T21:53:52.429Z,39.44
2025-03-18T21:52:52.408Z,39.44
2025-03-18T21:51:52.500Z,39.23
2025-03-18T21:50:52.511Z,39.65
2025-03-18T21:49:52.503Z,38.59
2025-03-18T21:48:52.605Z,38.80
2025-03-18T21:47:52.538Z,37.87
2025-03-18T21:46:53.281Z,37.66
2025-03-18T21:45:52.498Z,37.76
2025-03-18T21:44:52.523Z,36.83
2025-03-18T21:43:52.551Z,36.61
2025-03-18T21:42:52.618Z,36.51
2025-03-18T21:41:53.958Z,35.27
2025-03-18T21:40:52.600Z,35.47
2025-03-18T21:39:52.666Z,35.78
2025-03-18T21:38:52.572Z,35.99
2025-03-18T21:37:52.660Z,34.75
