createdAt,value
2025-03-21T21:59:24.234Z,11.50
2025-03-21T21:58:24.249Z,15.90
2025-03-21T21:57:24.266Z,11.50
2025-03-21T21:56:24.264Z,12.90
2025-03-21T21:55:24.303Z,12.40
2025-03-21T21:54:24.403Z,15.80
2025-03-21T21:53:32.581Z,12.90
2025-03-21T21:52:24.318Z,13.30
2025-03-21T21:51:24.349Z,14.40
2025-03-21T21:50:24.359Z,14.60
2025-03-21T21:49:24.347Z,13.00
2025-03-21T21:48:24.412Z,13.20
2025-03-21T21:47:24.423Z,15.50
2025-03-21T21:46:24.406Z,11.60
2025-03-21T21:45:24.428Z,16.90
2025-03-21T21:44:24.401Z,14.70
2025-03-21T21:43:28.557Z,13.30
2025-03-21T21:42:24.457Z,16.70
2025-03-21T21:41:24.462Z,11.50
2025-03-21T21:40:24.506Z,15.50
2025-03-21T21:39:24.545Z,18.80
2025-03-21T21:38:24.465Z,8.10
2025-03-21T21:37:24.514Z,14.40
2025-03-21T21:36:24.564Z,12.50
2025-03-21T21:35:24.693Z,13.30
2025-03-21T21:34:24.661Z,16.30
2025-03-21T21:33:31.546Z,17.50
2025-03-21T21:32:24.614Z,10.80
2025-03-21T21:31:24.561Z,12.20
2025-03-21T21:30:24.633Z,15.20
2025-03-21T21:29:24.625Z,14.50
2025-03-21T21:28:24.582Z,16.10
2025-03-21T21:27:24.691Z,13.50
2025-03-21T21:26:24.607Z,18.60
2025-03-21T21:25:24.621Z,15.50
2025-03-21T21:24:24.655Z,12.50
2025-03-21T21:23:28.976Z,10.30
2025-03-21T21:22:24.655Z,11.40
2025-03-21T21:21:24.715Z,11.60
2025-03-21T21:20:24.707Z,9.60
2025-03-21T21:19:24.694Z,10.00
2025-03-21T21:18:24.822Z,12.20
2025-03-21T21:17:24.697Z,9.10
2025-03-21T21:16:24.944Z,9.10
2025-03-21T21:15:24.747Z,10.70
2025-03-21T21:14:24.734Z,9.20
2025-03-21T21:13:28.235Z,9.20
2025-03-21T21:12:24.805Z,11.90
2025-03-21T21:11:24.784Z,11.60
2025-03-21T21:10:24.790Z,9.90
2025-03-21T21:09:24.819Z,8.80
2025-03-21T21:08:24.793Z,10.90
2025-03-21T21:07:24.903Z,9.60
2025-03-21T21:06:25.294Z,8.90
2025-03-21T21:05:24.924Z,11.40
2025-03-21T21:04:25.921Z,8.40
2025-03-21T21:03:33.154Z,7.80
2025-03-21T21:02:24.963Z,10.90
2025-03-21T21:01:26.819Z,9.50
2025-03-21T21:00:38.009Z,10.30
2025-03-21T20:59:24.888Z,8.10
2025-03-21T20:58:24.934Z,8.20
2025-03-21T20:57:24.940Z,8.10
2025-03-21T20:56:24.992Z,10.00
2025-03-21T20:55:24.934Z,11.80
2025-03-21T20:54:24.952Z,8.40
2025-03-21T20:53:30.834Z,8.50
2025-03-21T20:52:24.993Z,7.30
2025-03-21T20:51:25.004Z,10.40
2025-03-21T20:50:24.995Z,8.10
2025-03-21T20:49:25.063Z,9.70
2025-03-21T20:48:25.188Z,7.80
2025-03-21T20:47:25.075Z,8.80
2025-03-21T20:46:25.019Z,8.00
2025-03-21T20:45:25.092Z,9.10
2025-03-21T20:44:25.060Z,8.20
2025-03-21T20:43:32.736Z,10.70
2025-03-21T20:42:25.133Z,9.30
2025-03-21T20:41:25.091Z,8.10
2025-03-21T20:40:25.111Z,11.40
2025-03-21T20:39:25.116Z,9.80
2025-03-21T20:38:25.116Z,10.30
2025-03-21T20:37:25.133Z,7.30
2025-03-21T20:36:25.181Z,9.60
2025-03-21T20:35:25.147Z,9.70
2025-03-21T20:34:25.265Z,7.00
2025-03-21T20:33:31.705Z,9.20
2025-03-21T20:32:26.663Z,8.20
2025-03-21T20:31:25.185Z,9.40
2025-03-21T20:30:25.241Z,9.80
2025-03-21T20:29:25.200Z,8.20
2025-03-21T20:28:25.224Z,10.70
2025-03-21T20:27:25.268Z,7.80
2025-03-21T20:26:25.233Z,11.60
2025-03-21T20:25:28.731Z,6.50
2025-03-21T20:24:25.305Z,11.20
2025-03-21T20:23:32.601Z,10.70
2025-03-21T20:22:25.299Z,6.80
2025-03-21T20:21:25.373Z,7.20
2025-03-21T20:20:25.305Z,8.70
2025-03-21T20:19:25.436Z,8.40
2025-03-21T20:18:25.455Z,10.70
2025-03-21T20:17:25.382Z,7.60
2025-03-21T20:16:25.351Z,5.90
2025-03-21T20:15:25.412Z,9.90
2025-03-21T20:14:25.374Z,9.10
2025-03-21T20:13:36.931Z,8.70
2025-03-21T20:12:25.481Z,7.40
2025-03-21T20:11:25.475Z,8.00
2025-03-21T20:10:25.544Z,9.90
2025-03-21T20:09:25.461Z,8.60
2025-03-21T20:08:25.504Z,10.70
2025-03-21T20:07:25.469Z,8.30
2025-03-21T20:06:26.074Z,8.70
2025-03-21T20:05:25.711Z,6.70
2025-03-21T20:04:25.756Z,8.60
2025-03-21T20:03:35.187Z,7.70
2025-03-21T20:02:25.685Z,9.40
2025-03-21T20:01:25.633Z,9.60
2025-03-21T20:00:29.043Z,14.70
2025-03-21T19:59:25.550Z,8.20
2025-03-21T19:58:25.578Z,8.20
2025-03-21T19:57:25.599Z,7.60
2025-03-21T19:56:25.576Z,8.70
2025-03-21T19:55:25.575Z,5.20
2025-03-21T19:54:25.655Z,6.30
2025-03-21T19:53:31.664Z,6.10
2025-03-21T19:52:25.985Z,7.10
2025-03-21T19:51:25.704Z,8.60
2025-03-21T19:50:25.734Z,7.30
2025-03-21T19:49:25.663Z,6.50
2025-03-21T19:48:25.780Z,7.50
2025-03-21T19:47:25.753Z,9.20
2025-03-21T19:46:25.747Z,8.00
2025-03-21T19:45:25.908Z,6.20
2025-03-21T19:44:25.714Z,9.10
