createdAt,value
2025-03-18T21:59:22.843Z,1.40
2025-03-18T21:58:22.303Z,1.30
2025-03-18T21:57:22.362Z,2.10
2025-03-18T21:56:26.593Z,1.50
2025-03-18T21:55:22.400Z,0.80
2025-03-18T21:54:22.396Z,1.30
2025-03-18T21:53:22.399Z,1.10
2025-03-18T21:52:22.393Z,0.90
2025-03-18T21:51:22.529Z,1.00
2025-03-18T21:50:22.376Z,1.20
2025-03-18T21:49:22.633Z,1.00
2025-03-18T21:48:22.602Z,1.60
2025-03-18T21:47:22.479Z,1.00
2025-03-18T21:46:27.680Z,1.40
2025-03-18T21:45:22.464Z,1.30
2025-03-18T21:44:22.490Z,1.90
2025-03-18T21:43:22.471Z,1.30
2025-03-18T21:42:22.536Z,1.40
2025-03-18T21:41:22.501Z,2.00
2025-03-18T21:40:22.499Z,1.90
2025-03-18T21:39:22.634Z,1.60
2025-03-18T21:38:22.724Z,1.50
2025-03-18T21:37:22.571Z,1.10
2025-03-18T21:36:30.420Z,1.00
2025-03-18T21:35:22.605Z,1.80
2025-03-18T21:34:22.753Z,1.50
2025-03-18T21:33:22.746Z,1.60
2025-03-18T21:32:22.618Z,2.00
2025-03-18T21:31:22.627Z,1.30
2025-03-18T21:30:22.680Z,1.70
2025-03-18T21:29:22.607Z,1.70
2025-03-18T21:28:22.626Z,1.40
2025-03-18T21:27:22.721Z,1.10
2025-03-18T21:26:31.014Z,2.40
2025-03-18T21:25:22.712Z,1.50
2025-03-18T21:24:22.823Z,1.30
2025-03-18T21:23:22.675Z,1.10
2025-03-18T21:22:22.724Z,1.50
2025-03-18T21:21:22.735Z,1.20
2025-03-18T21:20:22.772Z,1.60
2025-03-18T21:19:22.807Z,1.70
2025-03-18T21:18:22.814Z,1.90
2025-03-18T21:17:22.817Z,2.30
2025-03-18T21:16:29.551Z,1.90
2025-03-18T21:15:22.870Z,1.70
2025-03-18T21:14:22.764Z,2.70
2025-03-18T21:13:22.799Z,2.00
2025-03-18T21:12:22.989Z,2.10
2025-03-18T21:11:22.944Z,3.30
