createdAt,value
2025-03-25T21:59:30.095Z,7.78
2025-03-25T21:58:29.977Z,7.84
2025-03-25T21:57:30.037Z,7.81
2025-03-25T21:56:29.989Z,7.85
2025-03-25T21:55:29.999Z,7.87
2025-03-25T21:54:30.110Z,7.85
2025-03-25T21:53:36.909Z,7.82
2025-03-25T21:52:30.064Z,7.82
2025-03-25T21:51:30.122Z,7.82
2025-03-25T21:50:30.080Z,7.81
2025-03-25T21:49:30.195Z,7.78
2025-03-25T21:48:30.213Z,7.79
2025-03-25T21:47:30.152Z,7.77
2025-03-25T21:46:30.118Z,7.75
2025-03-25T21:45:30.940Z,7.74
2025-03-25T21:44:30.119Z,7.71
2025-03-25T21:43:37.723Z,7.75
2025-03-25T21:42:30.333Z,7.75
2025-03-25T21:41:30.215Z,7.78
2025-03-25T21:40:30.166Z,7.77
2025-03-25T21:39:30.201Z,7.78
2025-03-25T21:38:30.191Z,7.81
2025-03-25T21:37:30.303Z,7.74
2025-03-25T21:36:30.370Z,7.75
2025-03-25T21:35:30.223Z,7.78
2025-03-25T21:34:30.292Z,7.72
2025-03-25T21:33:36.265Z,7.69
2025-03-25T21:32:30.355Z,7.71
2025-03-25T21:31:30.470Z,7.77
2025-03-25T21:30:30.377Z,7.72
2025-03-25T21:29:30.278Z,7.72
2025-03-25T21:28:30.309Z,7.77
2025-03-25T21:27:30.375Z,7.77
2025-03-25T21:26:30.299Z,7.74
2025-03-25T21:25:30.313Z,7.72
2025-03-25T21:24:30.434Z,7.71
2025-03-25T21:23:38.315Z,7.72
2025-03-25T21:22:30.372Z,7.75
2025-03-25T21:21:30.430Z,7.74
2025-03-25T21:20:30.398Z,7.77
2025-03-25T21:19:30.768Z,7.75
2025-03-25T21:18:30.535Z,7.75
2025-03-25T21:17:30.458Z,7.74
2025-03-25T21:16:30.450Z,7.74
2025-03-25T21:15:30.461Z,7.74
2025-03-25T21:14:30.457Z,7.67
2025-03-25T21:13:33.676Z,7.69
2025-03-25T21:12:30.491Z,7.71
2025-03-25T21:11:30.530Z,7.74
2025-03-25T21:10:30.575Z,7.75
2025-03-25T21:09:31.109Z,7.74
2025-03-25T21:08:30.758Z,7.71
2025-03-25T21:07:30.878Z,7.69
2025-03-25T21:06:30.905Z,7.72
2025-03-25T21:05:30.743Z,7.72
2025-03-25T21:04:30.716Z,7.78
2025-03-25T21:03:41.590Z,7.78
2025-03-25T21:02:30.691Z,7.79
2025-03-25T21:01:37.699Z,7.78
2025-03-25T21:00:47.461Z,7.74
2025-03-25T20:59:30.661Z,7.74
2025-03-25T20:58:30.606Z,7.79
2025-03-25T20:57:30.678Z,7.74
2025-03-25T20:56:32.391Z,7.79
2025-03-25T20:55:30.654Z,7.78
2025-03-25T20:54:30.781Z,7.74
2025-03-25T20:53:35.918Z,7.78
2025-03-25T20:52:30.701Z,7.81
2025-03-25T20:51:30.792Z,7.84
2025-03-25T20:50:30.687Z,7.84
2025-03-25T20:49:30.949Z,7.82
2025-03-25T20:48:30.943Z,7.81
2025-03-25T20:47:48.648Z,7.78
2025-03-25T20:46:32.014Z,7.79
2025-03-25T20:45:31.166Z,7.78
2025-03-25T20:44:30.773Z,7.74
