createdAt,value
2025-03-14T21:59:15.322Z,78.25
2025-03-14T21:58:15.344Z,78.45
2025-03-14T21:57:15.327Z,78.66
2025-03-14T21:56:17.874Z,78.87
2025-03-14T21:55:15.428Z,78.87
2025-03-14T21:54:15.330Z,78.77
2025-03-14T21:53:15.346Z,78.66
2025-03-14T21:52:15.665Z,78.83
2025-03-14T21:51:15.389Z,78.73
2025-03-14T21:50:15.408Z,78.63
2025-03-14T21:49:15.501Z,78.73
2025-03-14T21:48:15.531Z,78.83
2025-03-14T21:47:15.436Z,78.52
2025-03-14T21:46:23.575Z,78.21
2025-03-14T21:45:15.550Z,77.80
2025-03-14T21:44:15.431Z,77.59
2025-03-14T21:43:15.495Z,77.59
2025-03-14T21:42:15.492Z,77.39
2025-03-14T21:41:15.491Z,77.28
2025-03-14T21:40:15.600Z,77.15
2025-03-14T21:39:15.491Z,77.15
2025-03-14T21:38:15.494Z,77.15
2025-03-14T21:37:15.605Z,77.15
2025-03-14T21:36:25.970Z,77.18
2025-03-14T21:35:15.588Z,77.15
2025-03-14T21:34:15.723Z,77.87
2025-03-14T21:33:15.722Z,78.01
2025-03-14T21:32:15.930Z,78.01
2025-03-14T21:31:15.696Z,78.11
2025-03-14T21:30:15.643Z,78.31
2025-03-14T21:29:15.617Z,78.31
2025-03-14T21:28:15.731Z,78.42
2025-03-14T21:27:15.664Z,78.52
2025-03-14T21:26:27.909Z,78.52
2025-03-14T21:25:15.697Z,78.63
2025-03-14T21:24:15.672Z,78.73
2025-03-14T21:23:15.726Z,78.73
2025-03-14T21:22:15.749Z,78.63
2025-03-14T21:21:15.747Z,78.31
2025-03-14T21:20:15.859Z,78.42
2025-03-14T21:19:16.068Z,78.21
2025-03-14T21:18:15.905Z,78.01
2025-03-14T21:17:16.108Z,77.80
2025-03-14T21:16:24.559Z,77.70
2025-03-14T21:15:15.863Z,77.39
2025-03-14T21:14:15.908Z,77.39
2025-03-14T21:13:15.848Z,77.28
2025-03-14T21:12:15.797Z,77.18
2025-03-14T21:11:15.842Z,77.18
2025-03-14T21:10:15.880Z,77.18
2025-03-14T21:09:15.837Z,76.63
2025-03-14T21:08:15.862Z,76.84
2025-03-14T21:07:15.992Z,76.73
2025-03-14T21:06:26.164Z,76.73
2025-03-14T21:05:15.917Z,76.73
2025-03-14T21:04:16.114Z,76.63
2025-03-14T21:03:15.987Z,76.63
2025-03-14T21:02:15.956Z,76.84
2025-03-14T21:01:16.008Z,76.84
2025-03-14T21:00:15.951Z,77.25
2025-03-14T20:59:20.320Z,77.56
2025-03-14T20:58:16.025Z,77.56
2025-03-14T20:57:16.032Z,77.25
2025-03-14T20:56:28.648Z,77.25
2025-03-14T20:55:16.074Z,77.25
2025-03-14T20:54:16.116Z,77.35
2025-03-14T20:53:16.109Z,77.35
2025-03-14T20:52:16.039Z,77.25
2025-03-14T20:51:23.825Z,76.94
2025-03-14T20:50:16.177Z,76.84
2025-03-14T20:49:16.161Z,76.84
2025-03-14T20:48:16.129Z,76.73
2025-03-14T20:47:16.218Z,76.73
2025-03-14T20:46:16.196Z,76.63
2025-03-14T20:45:16.103Z,76.63
