createdAt,value
2025-03-24T23:59:37.437Z,24.8
2025-03-24T23:58:24.128Z,28.6
2025-03-24T23:57:09.836Z,27.3
2025-03-24T23:55:55.543Z,26.4
2025-03-24T23:54:41.250Z,26.6
2025-03-24T23:53:26.958Z,27.2
2025-03-24T23:52:12.665Z,26.8
2025-03-24T23:50:58.373Z,25.8
2025-03-24T23:49:44.080Z,27.6
2025-03-24T23:48:29.787Z,25.6
2025-03-24T23:47:15.494Z,27.5
2025-03-24T23:46:01.202Z,25.3
2025-03-24T23:44:46.909Z,25.2
2025-03-24T23:43:32.616Z,28.8
2025-03-24T23:42:19.307Z,24.9
2025-03-24T23:41:05.015Z,27.6
2025-03-24T23:39:50.722Z,28
2025-03-24T23:38:36.429Z,25.6
2025-03-24T23:37:22.136Z,28.1
2025-03-24T23:36:07.844Z,25.7
2025-03-24T23:34:53.551Z,24.1
2025-03-24T23:33:39.259Z,27.5
2025-03-24T23:32:24.966Z,26.2
2025-03-24T23:31:10.673Z,28.6
2025-03-24T23:29:56.381Z,27.2
2025-03-24T23:28:42.088Z,26.4
2025-03-24T23:27:27.795Z,30.2
2025-03-24T23:26:14.486Z,28
2025-03-24T23:25:00.193Z,26.6
2025-03-24T23:23:45.901Z,27.8
2025-03-24T23:22:31.608Z,25.2
2025-03-24T23:21:17.314Z,31.3
2025-03-24T23:20:03.021Z,27.7
2025-03-24T23:18:48.729Z,27
2025-03-24T23:17:34.436Z,26.6
2025-03-24T23:16:20.143Z,29.6
2025-03-24T23:15:05.851Z,27.8
2025-03-24T23:13:51.558Z,27.1
2025-03-24T23:12:37.266Z,27.2
2025-03-24T23:11:22.973Z,25.8
2025-03-24T23:10:09.664Z,27.4
2025-03-24T23:08:55.372Z,25.5
2025-03-24T23:07:41.079Z,26.4
2025-03-24T23:06:26.786Z,24.2
2025-03-24T23:05:12.493Z,26.2
2025-03-24T23:03:58.201Z,24.9
2025-03-24T23:02:43.908Z,25.1
2025-03-24T23:01:29.615Z,24.3
2025-03-24T23:00:15.323Z,24.9
2025-03-24T22:59:01.030Z,23.9
2025-03-24T22:57:46.737Z,24.8
2025-03-24T22:56:32.445Z,27.1
2025-03-24T22:55:18.152Z,26.4
2025-03-24T22:54:03.859Z,25.6
2025-03-24T22:52:50.550Z,23.9
2025-03-24T22:51:36.258Z,26.7
2025-03-24T22:50:21.965Z,30.1
2025-03-24T22:49:07.672Z,27.1
2025-03-24T22:47:53.380Z,27.1
2025-03-24T22:46:39.087Z,27.1
2025-03-24T22:45:24.794Z,25.9
2025-03-24T22:44:10.501Z,27.1
2025-03-24T22:42:56.209Z,27.1
2025-03-24T22:41:41.895Z,26.4
2025-03-24T22:40:27.623Z,28.1
2025-03-24T22:39:13.331Z,27.6
2025-03-24T22:37:59.020Z,31.1
2025-03-24T22:36:45.729Z,27.6
2025-03-24T22:35:31.437Z,26.1
2025-03-24T22:34:17.125Z,27.2
2025-03-24T22:33:02.851Z,27.2
2025-03-24T22:31:48.557Z,28.3
2025-03-24T22:30:34.244Z,26.5
2025-03-24T22:29:19.972Z,25.2
2025-03-24T22:28:05.680Z,25.1
2025-03-24T22:26:51.387Z,24
2025-03-24T22:25:37.094Z,26.1
2025-03-24T22:24:22.801Z,28
2025-03-24T22:23:08.509Z,29.8
2025-03-24T22:21:54.216Z,26.2
2025-03-24T22:20:40.907Z,26.4
2025-03-24T22:19:26.615Z,26.1
2025-03-24T22:18:12.322Z,23.6
2025-03-24T22:16:58.029Z,27.6
2025-03-24T22:15:43.737Z,25.5
2025-03-24T22:14:29.444Z,25
2025-03-24T22:13:15.151Z,24.6
2025-03-24T22:12:00.858Z,24.2
2025-03-24T22:10:46.566Z,30.1
2025-03-24T22:09:32.273Z,27.1
2025-03-24T22:08:17.980Z,27.4
2025-03-24T22:07:03.688Z,27.7
2025-03-24T22:05:49.395Z,27.4
2025-03-24T22:04:36.075Z,28.4
2025-03-24T22:03:21.794Z,27.7
2025-03-24T22:02:07.501Z,29.3
2025-03-24T21:59:38.916Z,28.2
2025-03-24T21:58:24.623Z,27.6
2025-03-24T21:57:10.330Z,26
2025-03-24T21:55:56.038Z,28.3
2025-03-24T21:54:41.745Z,27.2
2025-03-24T21:53:27.453Z,29.4
2025-03-24T21:52:13.160Z,26.2
2025-03-24T21:50:58.867Z,26.9
2025-03-24T21:49:44.574Z,27.6
2025-03-24T21:48:31.266Z,27.1
2025-03-24T21:47:16.973Z,27.7
2025-03-24T21:46:02.681Z,28.8
2025-03-24T21:44:48.388Z,28.3
2025-03-24T21:43:34.096Z,30.1
2025-03-24T21:42:19.804Z,30.3
2025-03-24T21:41:05.511Z,28.1
2025-03-24T21:39:51.218Z,26.7
2025-03-24T21:38:36.926Z,27.7
2025-03-24T21:37:22.633Z,27.7
2025-03-24T21:36:08.341Z,29.5
2025-03-24T21:34:54.048Z,28.5
2025-03-24T21:33:39.756Z,28.7
2025-03-24T21:32:26.448Z,26.7
2025-03-24T21:31:12.155Z,29.2
2025-03-24T21:29:57.862Z,30.3
2025-03-24T21:28:43.570Z,29.9
2025-03-24T21:27:29.278Z,27.6
2025-03-24T21:26:14.978Z,30.8
2025-03-24T21:25:00.693Z,31.2
2025-03-24T21:23:46.400Z,28.5
2025-03-24T21:22:32.108Z,28.8
2025-03-24T21:21:17.814Z,29
2025-03-24T21:20:03.521Z,28
2025-03-24T21:18:49.229Z,27
2025-03-24T21:17:34.936Z,25.6
2025-03-24T21:16:21.628Z,29.1
2025-03-24T21:15:07.335Z,26.4
2025-03-24T21:13:53.043Z,27.1
2025-03-24T21:12:38.750Z,25
