createdAt,value
2025-04-04T23:59:00.090Z,5.2
2025-04-04T23:57:45.797Z,4.9
2025-04-04T23:56:31.485Z,5
2025-04-04T23:55:17.212Z,5.3
2025-04-04T23:54:02.919Z,5.3
2025-04-04T23:52:48.627Z,4.9
2025-04-04T23:51:34.334Z,5.1
2025-04-04T23:50:20.041Z,5
2025-04-04T23:49:05.738Z,4.9
2025-04-04T23:47:51.456Z,5.6
2025-04-04T23:46:37.163Z,5.3
2025-04-04T23:45:22.871Z,5.3
2025-04-04T23:44:08.578Z,4.8
2025-04-04T23:42:55.269Z,5.2
2025-04-04T23:41:40.977Z,5.1
2025-04-04T23:40:26.684Z,4.6
2025-04-04T23:39:12.391Z,5.3
2025-04-04T23:37:58.099Z,4.7
2025-04-04T23:36:43.806Z,5.6
2025-04-04T23:35:29.513Z,5.1
2025-04-04T23:34:15.221Z,5.2
2025-04-04T23:33:00.928Z,5.6
2025-04-04T23:31:46.635Z,5.8
2025-04-04T23:30:32.343Z,5.3
2025-04-04T23:29:18.049Z,5.3
2025-04-04T23:28:03.757Z,5.3
2025-04-04T23:26:50.448Z,5.1
2025-04-04T23:25:36.155Z,5.5
2025-04-04T23:24:21.862Z,5.2
2025-04-04T23:23:07.570Z,5.3
2025-04-04T23:21:53.277Z,5.4
2025-04-04T23:20:38.984Z,5.4
2025-04-04T23:19:24.692Z,5.1
2025-04-04T23:18:10.399Z,5.1
2025-04-04T23:16:56.106Z,5.5
2025-04-04T23:15:41.813Z,5.3
2025-04-04T23:14:27.521Z,4.9
2025-04-04T23:13:13.228Z,4.8
2025-04-04T23:11:58.935Z,5.6
2025-04-04T23:10:45.626Z,5.3
2025-04-04T23:09:31.333Z,5.2
2025-04-04T23:08:17.041Z,5.1
2025-04-04T23:07:02.748Z,4.7
2025-04-04T23:05:48.455Z,5.1
2025-04-04T23:04:34.163Z,4.7
2025-04-04T23:03:19.870Z,5.3
2025-04-04T23:02:05.577Z,4.9
2025-04-04T23:00:51.285Z,5
2025-04-04T22:59:36.992Z,5.5
2025-04-04T22:58:22.699Z,5
2025-04-04T22:57:08.406Z,5.4
2025-04-04T22:55:54.114Z,5.1
2025-04-04T22:54:40.805Z,5.1
2025-04-04T22:53:26.512Z,4.8
2025-04-04T22:52:12.220Z,4.8
2025-04-04T22:50:57.927Z,4.7
2025-04-04T22:49:43.634Z,4.8
2025-04-04T22:48:29.342Z,4.7
2025-04-04T22:47:15.049Z,4.9
2025-04-04T22:46:00.756Z,4.9
2025-04-04T22:44:46.464Z,4.9
2025-04-04T22:43:32.171Z,5.1
2025-04-04T22:42:17.879Z,5
2025-04-04T22:41:03.586Z,5
2025-04-04T22:39:49.294Z,5.3
2025-04-04T22:38:35.985Z,4.7
2025-04-04T22:37:21.691Z,5
2025-04-04T22:36:07.399Z,5.1
2025-04-04T22:34:53.106Z,5.2
2025-04-04T22:33:38.813Z,5.6
2025-04-04T22:32:24.521Z,5
2025-04-04T22:31:10.228Z,5
2025-04-04T22:29:55.936Z,5.6
2025-04-04T22:28:41.643Z,5
2025-04-04T22:27:27.351Z,5.4
2025-04-04T22:26:13.058Z,5.3
