createdAt,value
2025-03-11T23:59:55.324Z,6.7
2025-03-11T23:58:41.031Z,6.7
2025-03-11T23:56:12.445Z,6.7
2025-03-11T23:54:58.152Z,6.8
2025-03-11T23:53:43.860Z,6.8
2025-03-11T23:52:29.567Z,6.8
2025-03-11T23:51:15.274Z,6.8
2025-03-11T23:50:00.982Z,6.9
2025-03-11T23:48:46.688Z,6.9
2025-03-11T23:47:32.395Z,6.9
2025-03-11T23:46:18.102Z,6.9
2025-03-11T23:45:03.810Z,6.9
2025-03-11T23:43:50.501Z,6.9
2025-03-11T23:42:36.208Z,6.9
2025-03-11T23:41:21.916Z,6.9
2025-03-11T23:40:07.623Z,7
2025-03-11T23:38:53.330Z,6.9
2025-03-11T23:37:39.037Z,7
2025-03-11T23:36:24.745Z,7
2025-03-11T23:35:10.452Z,7
2025-03-11T23:33:56.159Z,6.9
2025-03-11T23:32:41.867Z,7
2025-03-11T23:31:27.574Z,7
2025-03-11T23:30:13.281Z,7
2025-03-11T23:28:58.989Z,7
2025-03-11T23:27:45.680Z,7
2025-03-11T23:26:31.387Z,7
2025-03-11T23:25:17.094Z,7.1
2025-03-11T23:24:02.802Z,7.1
2025-03-11T23:22:48.509Z,7
2025-03-11T23:21:34.216Z,7.1
2025-03-11T23:20:19.924Z,7
2025-03-11T23:19:05.631Z,7.1
2025-03-11T23:17:51.339Z,7.1
2025-03-11T23:16:37.045Z,7.1
2025-03-11T23:15:22.753Z,7.1
2025-03-11T23:14:08.460Z,7.1
2025-03-11T23:12:54.167Z,7
2025-03-11T23:11:40.859Z,7
2025-03-11T23:10:26.566Z,7.1
2025-03-11T23:09:12.273Z,7.1
2025-03-11T23:07:57.980Z,7.1
2025-03-11T23:06:43.688Z,7.1
2025-03-11T23:05:29.395Z,7.1
2025-03-11T23:04:15.102Z,7.1
2025-03-11T23:03:00.809Z,7.1
2025-03-11T23:01:46.517Z,7.1
2025-03-11T23:00:32.224Z,7.2
2025-03-11T22:59:17.931Z,7.2
2025-03-11T22:58:03.639Z,7.2
2025-03-11T22:56:49.346Z,7.3
2025-03-11T22:55:36.037Z,7.3
2025-03-11T22:54:21.744Z,7.3
2025-03-11T22:53:07.452Z,7.3
2025-03-11T22:51:53.159Z,7.3
2025-03-11T22:50:38.866Z,7.3
2025-03-11T22:49:24.574Z,7.3
2025-03-11T22:48:10.281Z,7.3
2025-03-11T22:46:55.988Z,7.3
2025-03-11T22:45:41.696Z,7.3
2025-03-11T22:44:27.403Z,7.3
2025-03-11T22:43:13.110Z,7.3
2025-03-11T22:41:58.817Z,7.3
2025-03-11T22:40:44.525Z,7.3
2025-03-11T22:39:31.211Z,7.3
2025-03-11T22:38:16.918Z,7.3
2025-03-11T22:37:02.625Z,7.3
2025-03-11T22:35:48.333Z,7.3
2025-03-11T22:34:34.040Z,7.4
2025-03-11T22:33:19.747Z,7.4
2025-03-11T22:32:06.418Z,7.5
2025-03-11T22:30:52.146Z,7.5
2025-03-11T22:29:37.854Z,7.6
2025-03-11T22:28:23.561Z,7.6
2025-03-11T22:27:09.269Z,7.7
2025-03-11T22:25:54.976Z,7.7
2025-03-11T22:24:40.684Z,7.8
2025-03-11T22:23:26.392Z,7.9
2025-03-11T22:22:12.099Z,7.9
2025-03-11T22:20:57.807Z,8
2025-03-11T22:19:43.515Z,8
2025-03-11T22:18:29.222Z,8
2025-03-11T22:17:14.930Z,8
2025-03-11T22:16:01.621Z,8
2025-03-11T22:14:47.329Z,8
2025-03-11T22:13:33.036Z,8
2025-03-11T22:12:18.744Z,8
2025-03-11T22:11:04.452Z,8.1
2025-03-11T22:09:50.159Z,8.1
2025-03-11T22:08:35.867Z,8.1
2025-03-11T22:07:21.575Z,8.1
2025-03-11T22:06:07.282Z,8.2
2025-03-11T22:03:38.698Z,8.2
2025-03-11T22:02:24.406Z,8.2
2025-03-11T22:01:10.113Z,8.2
2025-03-11T21:59:56.805Z,8.2
2025-03-11T21:58:42.512Z,8.2
2025-03-11T21:57:28.220Z,8.3
2025-03-11T21:56:13.928Z,8.3
2025-03-11T21:54:59.636Z,8.3
2025-03-11T21:53:45.344Z,8.3
2025-03-11T21:52:31.052Z,8.3
2025-03-11T21:51:16.759Z,8.3
2025-03-11T21:50:02.467Z,8.3
2025-03-11T21:48:48.175Z,8.4
2025-03-11T21:47:33.882Z,8.4
2025-03-11T21:46:19.590Z,8.5
2025-03-11T21:45:05.298Z,8.4
2025-03-11T21:43:51.990Z,8.5
2025-03-11T21:42:37.698Z,8.5
2025-03-11T21:41:23.406Z,8.6
2025-03-11T21:40:09.113Z,8.6
2025-03-11T21:38:54.821Z,8.6
2025-03-11T21:37:40.529Z,8.7
2025-03-11T21:36:26.237Z,8.7
2025-03-11T21:35:11.945Z,8.8
2025-03-11T21:33:57.652Z,8.8
2025-03-11T21:32:43.360Z,8.9
2025-03-11T21:31:29.068Z,8.9
2025-03-11T21:30:14.776Z,9
2025-03-11T21:29:00.484Z,9
2025-03-11T21:27:47.175Z,9
2025-03-11T21:26:32.883Z,9
2025-03-11T21:25:18.591Z,9.1
2025-03-11T21:24:04.299Z,9.1
2025-03-11T21:22:50.007Z,9.2
2025-03-11T21:21:35.715Z,9.2
2025-03-11T21:20:21.423Z,9.2
2025-03-11T21:19:07.131Z,9.3
2025-03-11T21:17:52.838Z,9.4
2025-03-11T21:16:38.546Z,9.4
2025-03-11T21:15:24.254Z,9.5
2025-03-11T21:14:09.962Z,9.5
2025-03-11T21:12:55.670Z,9.6
2025-03-11T21:11:42.361Z,9.6
2025-03-11T21:10:28.069Z,9.6
2025-03-11T21:09:13.777Z,9.6
2025-03-11T21:07:59.485Z,9.6
2025-03-11T21:06:45.192Z,9.7
2025-03-11T21:05:30.900Z,9.7
2025-03-11T21:04:16.608Z,9.8
2025-03-11T21:03:02.316Z,9.8
2025-03-11T21:01:48.024Z,9.8
2025-03-11T21:00:33.732Z,9.8
2025-03-11T20:59:19.440Z,9.9
2025-03-11T20:58:05.147Z,9.9
2025-03-11T20:56:50.855Z,9.9
2025-03-11T20:55:37.547Z,9.9
2025-03-11T20:54:23.255Z,9.9
2025-03-11T20:53:08.963Z,10
2025-03-11T20:51:54.670Z,10
2025-03-11T20:50:40.378Z,10
2025-03-11T20:49:26.086Z,10
2025-03-11T20:48:11.794Z,10
2025-03-11T20:46:57.502Z,10
2025-03-11T20:45:43.210Z,10
2025-03-11T20:44:28.918Z,10
2025-03-11T20:43:14.626Z,10
2025-03-11T20:42:00.334Z,10
2025-03-11T20:40:46.042Z,10
2025-03-11T20:39:32.733Z,10
2025-03-11T20:38:18.441Z,10
2025-03-11T20:37:04.149Z,10
2025-03-11T20:35:49.857Z,10
2025-03-11T20:34:35.564Z,10
2025-03-11T20:33:21.272Z,10.1
2025-03-11T20:32:06.980Z,10.1
2025-03-11T20:30:52.687Z,10
2025-03-11T20:29:38.395Z,10.1
2025-03-11T20:28:24.103Z,10.1
2025-03-11T20:27:09.810Z,10.1
2025-03-11T20:25:55.518Z,10.1
2025-03-11T20:24:41.226Z,10.2
2025-03-11T20:23:27.917Z,10.2
2025-03-11T20:22:13.625Z,10.2
2025-03-11T20:20:59.333Z,10.2
2025-03-11T20:19:45.041Z,10.2
2025-03-11T20:18:30.749Z,10.3
2025-03-11T20:17:16.457Z,10.3
2025-03-11T20:16:02.165Z,10.3
2025-03-11T20:14:47.873Z,10.3
2025-03-11T20:13:33.580Z,10.3
2025-03-11T20:12:19.288Z,10.3
2025-03-11T20:11:04.996Z,10.3
2025-03-11T20:09:50.704Z,10.2
2025-03-11T20:08:36.412Z,10.2
2025-03-11T20:07:23.103Z,10.3
2025-03-11T20:06:08.811Z,10.2
2025-03-11T20:04:54.519Z,10.2
2025-03-11T20:03:40.226Z,10.2
2025-03-11T20:02:25.934Z,10.2
2025-03-11T20:01:11.642Z,10.2
2025-03-11T19:59:57.349Z,10.2
2025-03-11T19:58:43.057Z,10.2
2025-03-11T19:57:28.765Z,10.2
2025-03-11T19:56:14.473Z,10.2
2025-03-11T19:55:00.180Z,10.2
2025-03-11T19:53:45.888Z,10.2
2025-03-11T19:52:31.595Z,10.2
2025-03-11T19:51:18.287Z,10.2
2025-03-11T19:50:03.995Z,10.2
2025-03-11T19:48:49.702Z,10.3
2025-03-11T19:47:35.410Z,10.2
2025-03-11T19:46:21.118Z,10.2
2025-03-11T19:45:06.826Z,10.2
2025-03-11T19:43:52.534Z,10.2
2025-03-11T19:42:38.242Z,10.2
2025-03-11T19:41:23.949Z,10.2
2025-03-11T19:40:09.657Z,10.2
2025-03-11T19:38:55.364Z,10.2
2025-03-11T19:37:41.072Z,10.2
2025-03-11T19:36:26.780Z,10.2
2025-03-11T19:35:13.471Z,10.2
2025-03-11T19:33:59.179Z,10.3
2025-03-11T19:32:44.887Z,10.3
