createdAt,value
2025-03-16T23:59:41.126Z,91.3
2025-03-16T23:58:26.834Z,91.4
2025-03-16T23:57:12.541Z,91.3
2025-03-16T23:55:58.248Z,91.2
2025-03-16T23:54:43.955Z,91.2
2025-03-16T23:53:29.663Z,91.1
2025-03-16T23:52:16.354Z,91
2025-03-16T23:51:02.061Z,91
2025-03-16T23:49:47.768Z,91
2025-03-16T23:48:33.475Z,91.1
2025-03-16T23:47:19.182Z,91.2
2025-03-16T23:46:04.889Z,91.4
2025-03-16T23:44:50.597Z,91
2025-03-16T23:43:36.304Z,91
2025-03-16T23:42:22.011Z,91
2025-03-16T23:41:07.718Z,91
2025-03-16T23:39:53.426Z,91
2025-03-16T23:38:39.132Z,91
2025-03-16T23:37:24.840Z,91
2025-03-16T23:36:11.531Z,90.6
2025-03-16T23:34:57.238Z,90.4
2025-03-16T23:33:42.945Z,90.3
2025-03-16T23:32:28.652Z,90.4
2025-03-16T23:31:14.360Z,90.4
2025-03-16T23:30:00.067Z,90.2
2025-03-16T23:28:45.774Z,90.3
2025-03-16T23:27:31.481Z,90.3
2025-03-16T23:26:17.188Z,90.4
2025-03-16T23:25:02.895Z,90.5
2025-03-16T23:23:48.603Z,90.7
2025-03-16T23:22:34.310Z,90.8
2025-03-16T23:21:20.017Z,90.7
2025-03-16T23:20:05.724Z,90.8
2025-03-16T23:18:52.415Z,90.7
2025-03-16T23:17:38.122Z,90.8
2025-03-16T23:16:23.817Z,90.8
2025-03-16T23:15:09.536Z,90.5
2025-03-16T23:13:55.244Z,90.5
2025-03-16T23:12:40.951Z,90.5
2025-03-16T23:11:26.658Z,90.4
2025-03-16T23:10:12.365Z,90.4
2025-03-16T23:08:58.072Z,90
2025-03-16T23:07:43.780Z,89.7
2025-03-16T23:06:29.486Z,89.5
2025-03-16T23:05:15.194Z,89.6
2025-03-16T23:04:00.901Z,89.7
2025-03-16T23:02:47.592Z,89.8
2025-03-16T23:01:33.299Z,89.8
2025-03-16T23:00:19.006Z,89.8
2025-03-16T22:59:04.713Z,89.7
2025-03-16T22:57:50.420Z,89.7
2025-03-16T22:56:36.127Z,89.7
2025-03-16T22:55:21.834Z,90
2025-03-16T22:54:07.541Z,90
2025-03-16T22:52:53.248Z,90.5
2025-03-16T22:51:38.955Z,90.6
2025-03-16T22:50:24.663Z,90.5
2025-03-16T22:49:10.370Z,90
2025-03-16T22:47:56.077Z,90
2025-03-16T22:46:42.762Z,90.1
2025-03-16T22:45:28.470Z,90.2
2025-03-16T22:44:14.176Z,90.4
2025-03-16T22:42:59.883Z,90.5
2025-03-16T22:41:45.590Z,90.8
2025-03-16T22:40:31.297Z,91.2
2025-03-16T22:39:17.988Z,91
2025-03-16T22:38:03.695Z,91
2025-03-16T22:36:49.402Z,90.6
2025-03-16T22:35:35.109Z,90.6
2025-03-16T22:34:20.816Z,90.6
2025-03-16T22:33:06.523Z,91.2
2025-03-16T22:31:52.230Z,91.3
2025-03-16T22:30:37.937Z,91.3
2025-03-16T22:29:23.644Z,91.4
2025-03-16T22:28:09.351Z,91.5
2025-03-16T22:26:55.057Z,91.8
2025-03-16T22:25:40.763Z,92.1
2025-03-16T22:24:26.470Z,92
2025-03-16T22:23:13.161Z,91.9
2025-03-16T22:21:58.868Z,91.8
2025-03-16T22:20:44.575Z,91.4
2025-03-16T22:19:30.282Z,91
2025-03-16T22:18:15.989Z,91.2
2025-03-16T22:17:01.696Z,91.2
2025-03-16T22:15:47.403Z,91.5
2025-03-16T22:14:33.110Z,91.5
2025-03-16T22:13:18.817Z,91.7
2025-03-16T22:12:04.523Z,91.5
2025-03-16T22:10:50.230Z,91.7
2025-03-16T22:09:35.937Z,92
2025-03-16T22:08:21.644Z,91.9
2025-03-16T22:07:08.335Z,91.8
2025-03-16T22:05:54.042Z,91.6
2025-03-16T22:04:39.748Z,91.8
2025-03-16T22:03:25.455Z,92.1
2025-03-16T22:02:11.162Z,92.3
2025-03-16T22:00:56.869Z,92.1
2025-03-16T21:59:42.576Z,91.7
2025-03-16T21:58:28.283Z,91.9
2025-03-16T21:57:13.990Z,92.6
2025-03-16T21:55:59.697Z,92.8
2025-03-16T21:54:45.404Z,92.6
2025-03-16T21:53:31.111Z,92.6
2025-03-16T21:52:16.817Z,92.8
